Wall time,Step,Value
1524458964.23142,441,-0.17606401443481445
1524459082.012327,501,-0.2627280056476593
1524460356.313122,1141,-0.48128217458724976
1524460472.722167,1201,-0.3269233703613281
1524461372.201091,1661,-0.6551588177680969
1524461411.385319,1681,-0.49737298488616943
1524461686.960403,1821,-0.5527963042259216
1524462356.624932,2161,-0.7750785946846008
1524463734.494848,2861,-0.6803919672966003
1524464837.380572,3421,-0.8176419138908386
1524464994.588702,3501,-0.8163864612579346
1524466610.357054,4321,-1.1517994403839111
1524467477.697433,4761,-0.882189929485321
1524467872.248506,4961,-0.9149119853973389
1524468570.914585,5301,-1.0235536098480225
1524469990.168706,6021,-1.113943099975586
1524471212.430518,6641,-1.089576005935669
1524471606.862567,6841,-0.8495289087295532
1524472592.598537,7341,-1.1450120210647583
1524472948.11508,7521,-1.1445930004119873
1524474012.843119,8061,-1.1860506534576416
1524476102.957766,9121,-1.146589994430542
1524478417.533541,10281,-1.1607646942138672
1524479876.484957,11021,-1.112514853477478
1524479915.932397,11041,-1.1275736093521118
1524479955.419699,11061,-1.304660677909851
1524480389.431105,11281,-1.0640522241592407
1524481060.676403,11621,-1.2219064235687256
1524481376.113051,11781,-1.3683587312698364
1524482953.107361,12581,-1.2637733221054077
1524484214.083761,13221,-1.2633899450302124
1524484332.48729,13281,-1.3103384971618652
1524484529.348975,13381,-1.0938961505889893
1524485435.787038,13841,-1.2927489280700684
1524485791.089943,14021,-1.314337134361267
1524486067.071576,14161,-1.1905999183654785
1524487446.592667,14861,-1.5961694717407227
1524487564.907233,14921,-1.2810709476470947
1524490353.831445,16321,-1.3612744808197021
1524491380.187714,16841,-1.2146166563034058
1524491695.752649,17001,-1.2488195896148682
1524491931.860518,17121,-1.6517826318740845
1524492760.209675,17541,-1.2888373136520386
1524493036.732243,17681,-1.3892979621887207
1524493154.867019,17741,-1.24479079246521
1524493746.54839,18041,-1.2630212306976318
1524493864.844131,18101,-1.3959965705871582
1524494890.905575,18621,-1.3966212272644043
1524496626.259944,19501,-1.4640905857086182
1524497995.188959,20181,-1.5638378858566284
1524499296.54559,20841,-1.3854900598526
1524499375.491291,20881,-1.3373733758926392
1524499848.645758,21121,-1.6035219430923462
1524500479.15272,21441,-1.501276969909668
1524501227.747118,21821,-1.5820550918579102
1524502923.320467,22681,-1.3251757621765137
1524503830.70232,23141,-1.6078243255615234
1524504145.847492,23301,-1.5188381671905518
1524505605.128871,24041,-1.3079121112823486
1524505960.399153,24221,-1.5546913146972656
1524506157.383901,24321,-1.760316014289856
1524506866.754717,24681,-1.334653377532959
1524507419.070593,24961,-1.5571494102478027
1524508038.774291,25261,-1.298608660697937
1524508709.258066,25601,-1.657511591911316
1524509814.037177,26161,-1.3019441366195679
1524510602.453776,26561,-1.5288037061691284
1524512535.905503,27541,-1.545723557472229
1524514152.910014,28361,-1.7581130266189575
1524514349.968383,28461,-1.3993147611618042
1524514468.374126,28521,-1.416698694229126
1524516244.299498,29421,-1.4623510837554932
1524516639.302322,29621,-1.5055196285247803
1524518244.303828,30421,-1.656808853149414
1524521281.998682,31961,-1.4766523838043213
1524522149.937163,32401,-1.4178147315979004
1524522268.584737,32461,-1.677024006843567
1524523017.792496,32841,-1.4615516662597656
1524523648.916475,33161,-1.4428025484085083
1524525344.898042,34021,-1.4177502393722534
1524526133.739289,34421,-1.3004883527755737
1524527001.617683,34861,-1.4221482276916504
1524527621.699245,35161,-1.5465627908706665
1524528606.790602,35661,-1.7406253814697266
1524528725.345308,35721,-1.5395228862762451
1524529277.606403,36001,-1.6045178174972534
1524529750.605153,36241,-1.7590456008911133
1524529868.831512,36301,-1.547772765159607
1524531919.435733,37341,-1.5873539447784424
1524532314.187938,37541,-1.6290760040283203
1524532747.546987,37761,-1.7960957288742065
1524533378.372074,38081,-1.5654585361480713
1524534719.748839,38761,-1.495771884918213
1524534956.294179,38881,-1.6780740022659302
1524535784.138343,39301,-1.6225144863128662
1524536414.944701,39621,-1.6807432174682617
1524538217.819554,40521,-1.5115259885787964
1524540851.65419,41821,-1.5157349109649658
1524541709.534071,42241,-1.532792568206787
1524545136.536406,43921,-1.5489823818206787
1524549077.089626,45841,-1.8512259721755981
1524549932.716974,46261,-1.4850280284881592
1524550054.940272,46321,-1.5180091857910156
1524553478.554617,48001,-1.6985790729522705
1524554212.018623,48361,-1.7768141031265259
1524556250.653862,49361,-1.5750142335891724
1524557909.59442,50161,-1.6511682271957397
1524558643.034026,50521,-1.5192238092422485
1524559457.395806,50921,-1.6230486631393433
1524559579.714255,50981,-1.7238188982009888
1524560883.693716,51621,-1.5250784158706665
1524561250.498437,51801,-1.4967660903930664
1524561332.256312,51841,-2.014326810836792
1524561454.47673,51901,-1.6250076293945312
1524561658.316432,52001,-1.6791473627090454
1524562432.743188,52381,-1.4840078353881836
1524563736.076924,53021,-1.772813081741333
1524565325.214834,53801,-1.6230156421661377
1524566304.23016,54281,-1.4001370668411255
1524566996.362123,54621,-1.5491375923156738
1524567362.558949,54801,-1.6157292127609253
1524569659.122704,55921,-1.5754789113998413
1524570351.917055,56261,-1.5739390850067139
1524570612.907851,56381,-1.502478003501892
1524571436.966716,56781,-1.796270489692688
1524572538.198717,57321,-1.6021016836166382
1524572986.450641,57541,-1.5630663633346558
1524574821.663213,58441,-1.6809206008911133
1524576900.32256,59461,-1.6676199436187744
1524577063.258296,59541,-1.52626371383667
1524579374.143549,60661,-1.4839141368865967
1524580189.272325,61061,-1.8818275928497314
1524581087.660859,61501,-1.7038499116897583
1524581209.964468,61561,-1.494207739830017
1524582186.984957,62041,-1.921872854232788
1524583491.05565,62681,-1.599821925163269
1524585079.802259,63461,-1.8180618286132812
1524588963.368253,65361,-1.8295743465423584
1524589248.613169,65501,-1.4756344556808472
1524589329.926143,65541,-1.6941367387771606
1524590267.678035,66001,-1.7501771450042725
1524590308.059553,66021,-1.5385154485702515
1524590470.984536,66101,-1.4648277759552002
1524591040.876073,66381,-1.6363701820373535
1524591081.597296,66401,-1.6934021711349487
1524591570.464717,66641,-1.5079236030578613
1524592916.827739,67301,-1.6430648565292358
1524593365.070022,67521,-1.408718466758728
1524595527.272518,68581,-1.631800651550293
1524595689.931153,68661,-1.7946891784667969
1524596381.68002,69001,-1.670928716659546
1524596788.682575,69201,-1.5195841789245605
1524597317.794849,69461,-1.6250211000442505
1524598133.562511,69861,-1.6556369066238403
1524598174.460146,69881,-1.7583619356155396
1524601123.098275,71321,-1.487107753753662
1524601367.57631,71441,-1.6233737468719482
1524602998.495101,72241,-1.5493109226226807
1524603324.257047,72401,-1.689812183380127
1524605158.517019,73301,-1.8327058553695679
1524606176.882577,73801,-1.4440916776657104
1524608213.379459,74801,-1.772963047027588
1524608376.789476,74881,-1.5294994115829468
1524608417.410493,74901,-1.631557822227478
1524608771.864135,75061,-1.6081570386886597
1524609423.727306,75381,-2.0830841064453125
1524609464.555459,75401,-1.5666671991348267
1524610442.645398,75881,-1.6385880708694458
1524611380.060197,76341,-1.7746907472610474
1524612642.575467,76961,-1.593003749847412
1524612968.916308,77121,-1.8211067914962769
1524613254.208086,77261,-1.7440996170043945
1524613458.209902,77361,-1.7980023622512817
1524613743.310641,77501,-1.7055068016052246
1524617658.712424,79421,-1.7258719205856323
1524618840.665753,80001,-1.5557610988616943
1524619707.96664,80421,-1.6234636306762695
1524621296.039938,81201,-1.7274121046066284
1524621377.385007,81241,-1.619667887687683
1524623374.271074,82221,-1.4262741804122925
1524623866.91267,82461,-1.8001066446304321
1524625501.479062,83261,-1.5881325006484985
1524625664.572133,83341,-1.4107712507247925
1524626399.464349,83701,-1.8046910762786865
1524627263.982364,84121,-1.5598036050796509
1524627557.842038,84261,-1.928067684173584
1524628939.856311,84921,-1.68189537525177
1524630195.237475,85521,-1.731870174407959
1524630362.614186,85601,-1.434037685394287
1524633398.208678,87041,-1.6158361434936523
