Wall time,Step,Value
1526493019.557064,441,1.6413010358810425
1526493118.896089,501,1.6132769584655762
1526494139.418664,1141,0.9907819628715515
1526494234.22853,1201,0.8265618085861206
1526494966.395195,1661,0.8962908983230591
1526494999.158058,1681,1.034539818763733
1526495224.085317,1821,0.8678458333015442
1526495788.081809,2161,0.6141401529312134
1526496919.987126,2861,0.46890437602996826
1526497820.84842,3421,0.33530354499816895
1526497950.863142,3501,0.44237220287323
1526499268.262359,4321,0.24054980278015137
1526499975.226829,4761,0.400274395942688
1526500297.28373,4961,0.4195214509963989
1526500882.734407,5301,0.2916451692581177
1526502039.850124,6021,0.07542276382446289
1526503037.793156,6641,0.226875901222229
1526503359.852288,6841,0.05860781669616699
1526504159.006505,7341,-0.0299605131149292
1526504448.993091,7521,-0.05584084987640381
1526505316.289846,8061,0.1892164945602417
1526507022.269974,9121,-0.11679661273956299
1526508725.710026,10281,-0.3386152982711792
1526509721.900412,11021,-0.12098944187164307
1526509748.985154,11041,-0.20049965381622314
1526509775.799059,11061,-0.14058542251586914
1526510069.693324,11281,0.2158147096633911
1526510526.012835,11621,0.030805587768554688
1526510741.396175,11781,-0.3017845153808594
1526511815.77509,12581,-0.3327815532684326
1526512677.073025,13221,-0.12235772609710693
1526512756.993367,13281,-0.2809016704559326
1526512890.504159,13381,-0.06969428062438965
1526513509.177316,13841,0.09311282634735107
1526513752.361501,14021,-0.48530662059783936
1526513941.800233,14161,-0.841443657875061
1526514884.598426,14861,-0.8562875986099243
1526514965.384407,14921,-0.30387914180755615
1526516884.260908,16321,-0.34979546070098877
1526517577.296359,16841,-0.295459508895874
1526517791.913099,17001,0.07246196269989014
1526517953.744502,17121,-0.2892509698867798
1526518515.583599,17541,-0.34025251865386963
1526518703.122164,17681,-0.17363810539245605
1526518783.177744,17741,-0.44483137130737305
1526519189.564762,18041,-0.30308282375335693
1526519270.006792,18101,-0.2566632032394409
1526519972.227177,18621,-0.4684720039367676
1526521143.65203,19501,-0.37496650218963623
1526522098.352979,20181,-0.33987343311309814
1526522984.997172,20841,-0.5122585296630859
1526523038.715217,20881,-0.3054851293563843
1526523362.274516,21121,-0.2546868324279785
1526523795.093029,21441,-0.7289988994598389
1526524306.157075,21821,-0.7360683679580688
1526525460.504338,22681,-0.09259665012359619
1526526081.267427,23141,-0.6328384876251221
1526526297.420796,23301,-0.7258374691009521
1526527296.723504,24041,-0.40020954608917236
1526527536.79964,24221,-0.4142211675643921
1526527670.370553,24321,-0.6839289665222168
1526528156.5086,24681,-0.5593299865722656
1526528538.297899,24961,-0.53078293800354
1526528981.197203,25261,-0.5570026636123657
1526529441.777123,25601,-0.36773741245269775
1526530196.286168,26161,-0.316037654876709
1526530728.753515,26561,-0.2462158203125
1526532042.858361,27541,-0.1386328935623169
1526533143.283812,28361,-0.2944103479385376
1526533277.71245,28461,-0.40979576110839844
1526533358.794501,28521,-0.8478748798370361
