Wall time,Step,Value
1524220960.618093,121,0.2912975549697876
1524221070.152237,181,0.06759718060493469
1524221398.072252,361,-0.011423759162425995
1524221542.167816,441,-0.13726215064525604
1524221649.34673,501,-0.30803170800209045
1524221828.196186,601,-0.4152941405773163
1524222149.634137,781,-0.32223081588745117
1524222793.248685,1141,-0.4758186936378479
1524222828.938058,1161,-0.4581577181816101
1524222900.416485,1201,-0.3094590902328491
1524223293.744581,1421,-0.6986056566238403
1524223721.82401,1661,-0.5149120092391968
1524223757.657834,1681,-0.6202225089073181
1524223899.877555,1761,-0.6188860535621643
1524224006.874616,1821,-0.592061460018158
1524224042.704173,1841,-0.640837550163269
1524224543.228607,2121,-0.8522919416427612
1524224614.944431,2161,-0.7686953544616699
1524225295.079138,2541,-0.7169167399406433
1524225402.362058,2601,-0.7483360767364502
1524225509.753357,2661,-0.7599003314971924
1524225545.533906,2681,-0.690897524356842
1524225867.756305,2861,-0.7162896394729614
1524226870.00229,3421,-0.8657533526420593
1524227012.800665,3501,-0.7977392077445984
1524227048.554663,3521,-0.6831271648406982
1524227406.518229,3721,-0.9981710314750671
1524227513.85501,3781,-0.8967345952987671
1524227692.510199,3881,-0.6430293321609497
1524227728.114263,3901,-0.8727312684059143
1524228478.167354,4321,-1.2723912000656128
1524228621.677596,4401,-0.8381078243255615
1524228657.402665,4421,-0.9513252377510071
1524228764.76488,4481,-0.8235863447189331
1524228800.623754,4501,-0.9766662120819092
1524228979.515321,4601,-0.9686437845230103
1524229194.406593,4721,-1.1553752422332764
1524229230.059317,4741,-0.8105171322822571
1524229265.752274,4761,-1.4391189813613892
1524229624.018365,4961,-0.9572487473487854
1524230238.219509,5301,-0.946540355682373
1524230630.67176,5521,-0.9899953603744507
1524231237.392724,5861,-0.9825738072395325
1524231415.860133,5961,-0.9341001510620117
1524231523.099714,6021,-0.8911771774291992
1524231594.610548,6061,-0.711625337600708
1524232022.302217,6301,-1.0460007190704346
1524232522.168598,6581,-1.0520451068878174
1524232629.326847,6641,-1.0967930555343628
1524232986.326784,6841,-0.9775650501251221
1524233128.757772,6921,-1.1221588850021362
1524233235.960351,6981,-1.055559515953064
1524233556.671937,7161,-1.3241240978240967
1524233663.626053,7221,-1.0116310119628906
1524233877.516704,7341,-1.0138765573501587
1524233913.072266,7361,-1.1769872903823853
1524233948.819191,7381,-0.9953901171684265
1524234056.240843,7441,-1.1022359132766724
1524234199.355646,7521,-1.3647290468215942
1524234377.651496,7621,-1.1752020120620728
1524234520.753061,7701,-1.0462737083435059
1524234556.561739,7721,-1.0763609409332275
1524234984.294199,7961,-1.1067651510238647
1524235162.390124,8061,-1.0973155498504639
1524235411.878926,8201,-1.2348400354385376
1524235483.407204,8241,-1.2887046337127686
1524235983.651102,8521,-1.2956706285476685
1524236197.805013,8641,-1.3174289464950562
1524236304.824754,8701,-1.1527941226959229
1524236447.467474,8781,-1.126901626586914
1524236733.225525,8941,-1.179870843887329
1524237054.380097,9121,-1.0658546686172485
1524238419.201931,9881,-1.2867892980575562
1524238891.272807,10141,-1.4877827167510986
1524239105.32555,10261,-1.512101650238037
1524239140.858049,10281,-1.577568531036377
1524239176.639007,10301,-1.325870394706726
1524239283.790474,10361,-1.2907428741455078
1524239498.530159,10481,-1.1893874406814575
1524239534.200524,10501,-1.350207805633545
1524239784.217092,10641,-1.4606380462646484
1524240070.620153,10801,-1.3776711225509644
1524240462.740788,11021,-1.1668925285339355
1524240498.505504,11041,-1.3143930435180664
1524240534.333865,11061,-1.3901714086532593
1524240569.86462,11081,-1.3532087802886963
1524240926.101234,11281,-1.5491077899932861
1524241211.817753,11441,-1.5049059391021729
1524241283.291096,11481,-1.4281924962997437
1524241390.586037,11541,-1.6228147745132446
1524241426.215664,11561,-1.273233413696289
1524241533.397441,11621,-1.3981049060821533
