Wall time,Step,Value
1524220960.618133,121,0.2755109965801239
1524221070.152284,181,0.04703374207019806
1524221398.072283,361,-0.03829670697450638
1524221542.16786,441,-0.16595955193042755
1524221649.346769,501,-0.3379988968372345
1524221828.19624,601,-0.44720879197120667
1524222149.634173,781,-0.35864511132240295
1524222793.248729,1141,-0.519696831703186
1524222828.938115,1161,-0.5046162009239197
1524222900.416518,1201,-0.35227665305137634
1524223293.744637,1421,-0.7490456700325012
1524223721.824057,1661,-0.5656699538230896
1524223757.657865,1681,-0.6719939112663269
1524223899.877591,1761,-0.6699889898300171
1524224006.874652,1821,-0.6488062143325806
1524224042.704211,1841,-0.6974211931228638
1524224543.228644,2121,-0.9097148180007935
1524224614.944478,2161,-0.8267691135406494
1524225295.079187,2541,-0.7767901420593262
1524225402.362088,2601,-0.812666118144989
1524225509.7534,2661,-0.8246588110923767
1524225545.533947,2681,-0.753851592540741
1524225867.756365,2861,-0.7811829447746277
1524226870.002342,3421,-0.9344260096549988
1524227012.80071,3501,-0.8638150095939636
1524227048.55471,3521,-0.75221848487854
1524227406.51828,3721,-1.0722856521606445
1524227513.855044,3781,-0.9704204201698303
1524227692.510246,3881,-0.7287058234214783
1524227728.114308,3901,-0.9554333686828613
1524228478.167406,4321,-1.356326937675476
1524228621.677651,4401,-0.9159395098686218
1524228657.402714,4421,-1.0325807332992554
1524228764.764925,4481,-0.8977810144424438
1524228800.623786,4501,-1.0543030500411987
1524228979.515365,4601,-1.046275019645691
1524229194.406626,4721,-1.2314316034317017
1524229230.059355,4741,-0.8812141418457031
1524229265.752306,4761,-1.5240693092346191
1524229624.018405,4961,-1.0320160388946533
1524230238.219568,5301,-1.0227571725845337
1524230630.671805,5521,-1.0655962228775024
1524231237.392783,5861,-1.0612114667892456
1524231415.860186,5961,-1.0108845233917236
1524231523.099774,6021,-0.9633496403694153
1524231594.610593,6061,-0.8017455339431763
1524232022.302257,6301,-1.123797059059143
1524232522.168651,6581,-1.127976655960083
1524232629.32689,6641,-1.1751620769500732
1524232986.326811,6841,-1.0508637428283691
1524233128.757817,6921,-1.1997959613800049
1524233235.960388,6981,-1.131823182106018
