Wall time,Step,Value
1524221565.501266,181,-0.0871078222990036
1524221968.822944,361,-0.21297018229961395
1524222148.109958,441,-0.2631126344203949
1524222282.690718,501,-0.47595933079719543
1524222506.322404,601,-0.42223474383354187
1524222905.969705,781,-0.6250804662704468
1524223699.823987,1141,-1.0399996042251587
1524223744.013786,1161,-0.44988447427749634
1524223832.228089,1201,-0.6379188895225525
1524224316.736769,1421,-0.7047348022460938
1524224846.09569,1661,-0.7387981414794922
1524224890.026282,1681,-0.8166999220848083
1524225065.901008,1761,-0.7711951732635498
1524225198.005588,1821,-0.8967307209968567
1524225242.01184,1841,-0.5666919350624084
1524225859.007749,2121,-0.8215852379798889
1524225946.83264,2161,-0.9802390336990356
1524226784.383185,2541,-1.4377176761627197
1524226916.331471,2601,-0.8833521604537964
1524227048.411737,2661,-1.00519597530365
1524227092.387678,2681,-1.0550068616867065
1524227488.800127,2861,-1.1817915439605713
1524228722.29568,3421,-0.9881156086921692
1524228898.418972,3501,-1.5033987760543823
1524228942.41568,3521,-1.1368350982666016
1524229382.94019,3721,-1.0191930532455444
1524229515.255622,3781,-1.0032446384429932
1524229735.330932,3881,-1.0900532007217407
1524229779.220903,3901,-1.1986055374145508
1524230703.382049,4321,-1.2818186283111572
1524230880.234578,4401,-1.125203251838684
1524230924.243337,4421,-1.0390690565109253
1524231056.311548,4481,-1.3619288206100464
1524231100.346177,4501,-1.4839253425598145
1524231320.841959,4601,-1.4169740676879883
1524231585.118308,4721,-1.1433215141296387
1524231629.158105,4741,-1.0730502605438232
1524231673.168879,4761,-1.449782133102417
1524232113.742984,4961,-1.2847020626068115
1524232872.269274,5301,-1.265380859375
1524233357.787433,5521,-1.579816222190857
1524234106.785964,5861,-1.1236310005187988
1524234326.89067,5961,-1.2173588275909424
1524234458.917379,6021,-1.3445343971252441
1524234547.263438,6061,-1.7304942607879639
1524235076.126691,6301,-1.2774014472961426
1524235693.080005,6581,-1.575042724609375
1524235825.225388,6641,-1.2255340814590454
1524236266.279617,6841,-1.6527494192123413
1524236442.744874,6921,-1.3286885023117065
1524236574.703673,6981,-1.2598222494125366
1524236971.661976,7161,-1.4750633239746094
1524237103.866268,7221,-1.634803056716919
1524237368.228113,7341,-1.342322826385498
1524237412.399577,7361,-1.5511481761932373
1524237456.692713,7381,-1.5350323915481567
1524237589.137752,7441,-1.390406608581543
1524237765.975669,7521,-1.346506953239441
1524237990.045749,7621,-1.3437023162841797
1524238167.914449,7701,-1.646799921989441
1524238213.214002,7721,-1.4663639068603516
1524238742.36484,7961,-1.5074849128723145
1524238962.635438,8061,-1.559820532798767
1524239271.04155,8201,-1.734836459159851
1524239359.119247,8241,-1.5818159580230713
1524239976.30103,8521,-1.5909881591796875
1524240240.89709,8641,-1.7369451522827148
1524240372.789491,8701,-2.1752545833587646
1524240548.971764,8781,-1.5932999849319458
1524240901.173793,8941,-1.3484137058258057
1524241297.854055,9121,-1.7692177295684814
1524242972.215062,9881,-1.5661956071853638
1524243554.661562,10141,-1.5723705291748047
1524243818.775615,10261,-1.7752107381820679
1524243862.808485,10281,-1.7794808149337769
1524243906.914757,10301,-1.7249196767807007
1524244039.139779,10361,-1.642871379852295
1524244303.934479,10481,-1.6593393087387085
