Wall time,Step,Value
1524221430.653502,121,1.1758055686950684
1524221565.501314,181,1.4001142978668213
1524221968.823002,361,1.483920931816101
1524222148.110008,441,1.4692076444625854
1524222282.690815,501,1.3852672576904297
1524222506.322493,601,1.4643162488937378
1524222905.969755,781,1.4313666820526123
1524223699.824063,1141,1.3477256298065186
1524223744.013861,1161,1.2642852067947388
1524223832.228132,1201,1.3257508277893066
1524224316.736828,1421,1.3307926654815674
1524224846.095763,1661,1.25326669216156
1524224890.026323,1681,1.2224090099334717
1524225065.901074,1761,1.1853455305099487
1524225198.005636,1821,1.245707631111145
1524225242.011935,1841,1.177592158317566
1524225859.007788,2121,1.2239971160888672
1524225946.832697,2161,1.148888349533081
1524226784.383238,2541,1.2344037294387817
1524226916.331516,2601,1.0612592697143555
1524227048.411807,2661,1.1401259899139404
1524227092.387725,2681,1.0564733743667603
1524227488.80018,2861,1.0523046255111694
1524228722.295756,3421,0.982539713382721
1524228898.41907,3501,1.0685499906539917
1524228942.415735,3521,1.0966598987579346
1524229382.940276,3721,0.9814316630363464
1524229515.255666,3781,0.9860256910324097
1524229735.331018,3881,0.9728609323501587
1524229779.22104,3901,0.9631953239440918
1524230703.382095,4321,1.011621356010437
1524230880.234657,4401,0.93177330493927
1524230924.243392,4421,0.9087077975273132
1524231056.311618,4481,0.9410912990570068
1524231100.346238,4501,0.9530034065246582
1524231320.842032,4601,0.935019314289093
1524231585.118372,4721,0.892936110496521
1524231629.158197,4741,0.848125159740448
1524231673.168975,4761,0.9433659315109253
1524232113.743026,4961,0.9223518371582031
1524232872.269371,5301,0.8961917161941528
1524233357.787492,5521,0.9001362323760986
1524234106.786016,5861,0.8083892464637756
1524234326.890711,5961,0.8367881774902344
1524234458.917442,6021,0.8453161716461182
1524234547.263499,6061,0.8949836492538452
1524235076.126746,6301,0.7937972545623779
1524235693.080055,6581,0.8397243022918701
1524235825.225464,6641,0.7730656862258911
1524236266.279682,6841,0.8101063966751099
1524236442.744957,6921,0.7591894268989563
1524236574.703719,6981,0.7536160349845886
1524236971.662036,7161,0.824631929397583
1524237103.866337,7221,0.8475165367126465
1524237368.228165,7341,0.7403589487075806
1524237412.399651,7361,0.8026199340820312
1524237456.692792,7381,0.768470287322998
1524237589.137794,7441,0.7706287503242493
1524237765.975737,7521,0.7758565545082092
1524237990.045794,7621,0.76591956615448
1524238167.914502,7701,0.8086174130439758
1524238213.214067,7721,0.7407686710357666
1524238742.364917,7961,0.7761956453323364
1524238962.635613,8061,0.772676944732666
1524239271.041613,8201,0.7481924295425415
1524239359.119325,8241,0.7700966000556946
1524239976.301121,8521,0.7476739883422852
1524240240.897131,8641,0.7734799981117249
1524240372.789596,8701,0.8169866800308228
1524240548.971838,8781,0.7751865386962891
1524240901.173857,8941,0.699256956577301
1524241297.854103,9121,0.7761648893356323
1524242972.21515,9881,0.7130669951438904
1524243554.661622,10141,0.7223684787750244
1524243818.775686,10261,0.7261504530906677
1524243862.80855,10281,0.7378366589546204
1524243906.914845,10301,0.7249365448951721
1524244039.139839,10361,0.7006024122238159
1524244303.934575,10481,0.7027610540390015
1524244347.951039,10501,0.6938587427139282
1524244656.72657,10641,0.6939772367477417
1524245008.899581,10801,0.6780539155006409
1524245493.779903,11021,0.7093316316604614
1524245537.800272,11041,0.7236040830612183
1524245581.785056,11061,0.700502872467041
1524245625.883583,11081,0.703982412815094
1524246066.547443,11281,0.6947861909866333
1524246418.866495,11441,0.7103326916694641
1524246506.965566,11481,0.6892588138580322
1524246639.26409,11541,0.7435646653175354
1524246683.316744,11561,0.6940736770629883
1524246815.28327,11621,0.6563084721565247
1524247079.900342,11741,0.6689382195472717
1524247168.054404,11781,0.6741875410079956
1524247344.58462,11861,0.6751387119293213
1524247785.247092,12061,0.7007867097854614
1524247917.579853,12121,0.6838582754135132
1524248181.918833,12241,0.6876774430274963
1524248313.7498,12301,0.6394332647323608
1524248931.605481,12581,0.6618019342422485
1524249328.902358,12761,0.6812670826911926
1524249593.546608,12881,0.7061362266540527
1524249858.085039,13001,0.6761178374290466
1524249946.294327,13041,0.6419501304626465
1524250210.471658,13161,0.6828266978263855
1524250298.678032,13201,0.650304913520813
1524250342.685635,13221,0.6516159176826477
1524250474.852411,13281,0.6701433658599854
1524250695.296012,13381,0.6794564723968506
1524250827.879766,13441,0.7082303166389465
1524251180.853998,13601,0.6943941712379456
1524251621.982123,13801,0.6616722941398621
1524251712.94428,13841,0.6501818895339966
1524251944.636687,13941,0.649641215801239
1524252130.044669,14021,0.6960993409156799
1524252453.8247,14161,0.7026253342628479
1524254080.45965,14861,0.6703268885612488
1524254219.983891,14921,0.6487210988998413
1524254508.747965,15041,0.6648621559143066
1524254741.089479,15141,0.6614516973495483
1524254834.029658,15181,0.655468761920929
1524254926.877322,15221,0.6705161929130554
1524255019.94703,15261,0.6659713983535767
1524255298.599632,15381,0.6450461149215698
1524255484.31609,15461,0.6409988403320312
1524256274.552405,15801,0.6450798511505127
1524256321.34288,15821,0.6603093147277832
1524256460.814746,15881,0.6566330790519714
1524256692.651876,15981,0.6461477279663086
1524256738.848294,16001,0.6580459475517273
1524257202.966461,16201,0.6527770757675171
1524257434.977293,16301,0.627348005771637
1524257481.600489,16321,0.6607644557952881
1524257667.516227,16401,0.6398538947105408
1524257760.18364,16441,0.6295912265777588
1524257992.8572,16541,0.6534714698791504
1524258085.867564,16581,0.6433396935462952
1524258225.589141,16641,0.6615613698959351
1524258690.233646,16841,0.6142901182174683
1524259062.117713,17001,0.6454855799674988
1524259108.274669,17021,0.629785418510437
1524259340.808586,17121,0.6426589488983154
1524259573.038967,17221,0.6616774797439575
1524259851.969308,17341,0.6431748867034912
1524259898.170247,17361,0.6508157849311829
1524260083.648745,17441,0.6121960878372192
1524260315.530561,17541,0.6288517117500305
1524260640.641407,17681,0.6514831185340881
1524260686.956723,17701,0.6578608155250549
1524260779.675046,17741,0.6455259919166565
1524260872.548249,17781,0.6180659532546997
1524261476.295769,18041,0.6274151802062988
1524261522.7221,18061,0.6498661637306213
1524261615.556176,18101,0.6451995372772217
1524262033.933209,18281,0.6436944603919983
1524262822.305841,18621,0.688676118850708
1524262868.503925,18641,0.6365981101989746
1524263007.80984,18701,0.6218376755714417
1524263286.869165,18821,0.6312398910522461
1524263379.915572,18861,0.6412889957427979
1524264864.980998,19501,0.6393046975135803
1524265004.757313,19561,0.608060359954834
1524265654.181946,19841,0.6088371872901917
1524265839.526396,19921,0.6268883943557739
1524266358.987029,20141,0.6219258904457092
1524266451.775746,20181,0.6298866271972656
1524266590.399176,20241,0.6314366459846497
1524267239.925149,20521,0.61896812915802
1524267796.158866,20761,0.6239993572235107
1524267981.292591,20841,0.6376699209213257
1524268074.027553,20881,0.6135004162788391
1524268213.088101,20941,0.6258585453033447
1524268630.888489,21121,0.5912445783615112
1524268677.65631,21141,0.6497507691383362
1524268770.418225,21181,0.6012303829193115
1524269048.345924,21301,0.6536117792129517
1524269094.797662,21321,0.6091264486312866
1524269372.793106,21441,0.6170069575309753
1524269558.558058,21521,0.6416565179824829
1524270020.905661,21721,0.610308825969696
1524270252.13462,21821,0.6156299710273743
1524272150.663633,22641,0.6137676239013672
1524272243.146124,22681,0.6153383255004883
1524272845.339856,22941,0.6312531232833862
1524273077.192472,23041,0.6197943687438965
1524273123.830695,23061,0.607963502407074
1524273216.198907,23101,0.6156240105628967
1524273308.708717,23141,0.6324264407157898
1524273679.114268,23301,0.6242969036102295
1524273864.292754,23381,0.6140128374099731
1524273910.440831,23401,0.6051730513572693
1524274189.301023,23521,0.6298691630363464
1524274605.514103,23701,0.6151270866394043
1524275067.518024,23901,0.6238718628883362
1524275391.925854,24041,0.6025879383087158
1524275809.046424,24221,0.6325750946998596
1524276040.416972,24321,0.634441614151001
1524276318.596357,24441,0.6162917017936707
1524276874.484782,24681,0.6141363978385925
1524277152.970178,24801,0.6094350814819336
1524277245.292723,24841,0.6226567625999451
1524277337.718757,24881,0.6371328830718994
1524277523.165657,24961,0.6224880218505859
1524277615.814067,25001,0.5925800800323486
1524277666.410587,25021,0.6218973398208618
1524277898.218308,25121,0.6315394639968872
1524278222.751761,25261,0.6017550230026245
1524278407.506897,25341,0.6307302713394165
1524278546.500968,25401,0.5993701815605164
