Wall time,Step,Value
1524221430.653475,121,0.22944483160972595
1524221565.501303,181,-0.10725592076778412
1524221968.822986,361,-0.2407808005809784
1524222148.109993,441,-0.29347020387649536
1524222282.690768,501,-0.5065715909004211
1524222506.322442,601,-0.45808419585227966
1524222905.969739,781,-0.6662216782569885
1524223699.824035,1141,-1.0900670289993286
1524223744.013833,1161,-0.4974370300769806
1524223832.22812,1201,-0.6890081167221069
1524224316.736807,1421,-0.7627367377281189
1524224846.095736,1661,-0.8002443909645081
1524224890.026311,1681,-0.877184271812439
1524225065.901053,1761,-0.8319774866104126
1524225198.005624,1821,-0.9622827768325806
1524225242.011877,1841,-0.6291861534118652
1524225859.007778,2121,-0.8941475749015808
1524225946.832681,2161,-1.0493603944778442
1524226784.383221,2541,-1.5222026109695435
1524226916.331506,2601,-0.957358717918396
1524227048.411787,2661,-1.0861717462539673
1524227092.387712,2681,-1.1304943561553955
1524227488.80016,2861,-1.2610217332839966
1524228722.295731,3421,-1.0736154317855835
1524228898.419018,3501,-1.598144769668579
1524228942.415721,3521,-1.2345244884490967
1524229382.940244,3721,-1.1106308698654175
1524229515.255655,3781,-1.096312165260315
1524229735.330985,3881,-1.183846354484558
1524229779.220977,3901,-1.2918553352355957
1524230703.382084,4321,-1.388232946395874
1524230880.234629,4401,-1.2246867418289185
1524230924.243373,4421,-1.1364470720291138
1524231056.311583,4481,-1.4638845920562744
1524231100.34622,4501,-1.5875446796417236
1524231320.84201,4601,-1.5204627513885498
1524231585.118351,4721,-1.244231939315796
1524231629.15814,4741,-1.169224739074707
1524231673.168912,4761,-1.5571211576461792
1524232113.743017,4961,-1.3931946754455566
1524232872.269308,5301,-1.3765727281570435
1524233357.787474,5521,-1.6951994895935059
1524234106.786003,5861,-1.2323204278945923
1524234326.890701,5961,-1.3313921689987183
1524234458.917423,6021,-1.46065092086792
1524234547.263479,6061,-1.8540818691253662
1524235076.126731,6301,-1.390443205833435
1524235693.08004,6581,-1.69879949092865
1524235825.225436,6641,-1.3402833938598633
1524236266.279664,6841,-1.7758307456970215
1524236442.744922,6921,-1.4450888633728027
1524236574.703706,6981,-1.3761507272720337
1524236971.662005,7161,-1.6049076318740845
1524237103.866316,7221,-1.7691203355789185
1524237368.228155,7341,-1.461169958114624
1524237412.399626,7361,-1.6802622079849243
1524237456.692765,7381,-1.6589133739471436
1524237589.137782,7441,-1.5154176950454712
1524237765.975714,7521,-1.473412275314331
1524237990.045783,7621,-1.4702675342559814
1524238167.914485,7701,-1.781501293182373
1524238213.214048,7721,-1.5900098085403442
1524238742.364894,7961,-1.6401281356811523
1524238962.635485,8061,-1.6931307315826416
1524239271.041595,8201,-1.8656314611434937
1524239359.119277,8241,-1.7169405221939087
1524239976.301078,8521,-1.7255518436431885
1524240240.897122,8641,-1.877634048461914
1524240372.789538,8701,-2.3246355056762695
1524240548.97181,8781,-1.736019492149353
1524240901.173838,8941,-1.4789139032363892
1524241297.854087,9121,-1.9162503480911255
1524242972.215093,9881,-1.7095328569412231
1524243554.661592,10141,-1.7203670740127563
1524243818.775661,10261,-1.9252641201019287
1524243862.808515,10281,-1.932165503501892
1524243906.914817,10301,-1.8751472234725952
1524244039.139817,10361,-1.788670539855957
1524244303.934512,10481,-1.8068149089813232
1524244347.951026,10501,-1.6802608966827393
1524244656.726557,10641,-1.7344865798950195
1524245008.899568,10801,-1.6180758476257324
1524245493.779895,11021,-2.1093506813049316
1524245537.800264,11041,-2.0068883895874023
1524245581.785002,11061,-1.736772060394287
1524245625.883566,11081,-1.9010603427886963
1524246066.547386,11281,-1.7874348163604736
1524246418.866468,11441,-1.880792498588562
1524246506.965557,11481,-1.9519121646881104
1524246639.264077,11541,-2.2581942081451416
1524246683.316682,11561,-1.7761569023132324
1524246815.28325,11621,-1.6997463703155518
1524247079.900314,11741,-1.6194580793380737
1524247168.054386,11781,-1.7545331716537476
1524247344.584609,11861,-1.8473783731460571
1524247785.247064,12061,-2.0530190467834473
1524247917.579841,12121,-1.862939476966858
1524248181.91882,12241,-1.9376331567764282
1524248313.749785,12301,-1.5803897380828857
1524248931.60547,12581,-1.9170987606048584
1524249328.902343,12761,-1.9071916341781616
1524249593.546574,12881,-2.0138323307037354
1524249858.085031,13001,-2.0273590087890625
1524249946.294307,13041,-1.6717697381973267
1524250210.47162,13161,-2.0007379055023193
1524250298.678002,13201,-1.818859338760376
1524250342.685625,13221,-1.6925276517868042
1524250474.852393,13281,-1.9089124202728271
1524250695.295998,13381,-2.0417466163635254
1524250827.879743,13441,-2.249317169189453
1524251180.853966,13601,-2.295241355895996
1524251621.982101,13801,-2.0199804306030273
1524251712.944262,13841,-1.8677409887313843
1524251944.636662,13941,-1.7689436674118042
1524252130.044659,14021,-2.076388120651245
1524252453.824679,14161,-2.357361078262329
1524254080.459632,14861,-2.1080210208892822
1524254219.983871,14921,-1.8368585109710693
1524254508.747954,15041,-2.1072559356689453
1524254741.089463,15141,-2.1046953201293945
1524254834.029607,15181,-1.853257656097412
1524254926.877261,15221,-2.199002742767334
1524255019.947008,15261,-1.987183928489685
1524255298.599621,15381,-1.8218458890914917
1524255484.316071,15461,-1.863768219947815
1524256274.552375,15801,-2.0076956748962402
1524256321.34287,15821,-1.966734766960144
1524256460.814736,15881,-2.244938373565674
1524256692.651821,15981,-1.848455548286438
1524256738.848286,16001,-2.285165548324585
1524257202.966448,16201,-2.066472291946411
1524257434.977277,16301,-1.9659305810928345
1524257481.600471,16321,-2.208204984664917
1524257667.51617,16401,-1.9763606786727905
1524257760.183609,16441,-1.829513669013977
1524257992.857175,16541,-2.08919358253479
1524258085.867552,16581,-2.1314282417297363
1524258225.589099,16641,-2.283313274383545
1524258690.233627,16841,-1.7800244092941284
1524259062.11769,17001,-2.1499786376953125
1524259108.274626,17021,-1.940613031387329
1524259340.808578,17121,-2.029512405395508
1524259573.03895,17221,-2.282681941986084
1524259851.969247,17341,-2.005396604537964
1524259898.170216,17361,-2.174799680709839
1524260083.648732,17441,-1.8987561464309692
1524260315.530552,17541,-1.8772542476654053
1524260640.641352,17681,-2.0560760498046875
1524260686.956703,17701,-2.286008834838867
1524260779.675034,17741,-2.2094342708587646
1524260872.548224,17781,-2.0222556591033936
1524261476.295751,18041,-1.8511542081832886
1524261522.722079,18061,-2.290442943572998
1524261615.556165,18101,-2.1510837078094482
1524262033.93317,18281,-2.206874132156372
1524262822.305806,18621,-2.505875825881958
1524262868.503897,18641,-1.98149573802948
1524263007.809826,18701,-2.120938539505005
1524263286.869153,18821,-2.2538609504699707
1524263379.91556,18861,-2.269805669784546
1524264864.980972,19501,-2.0779991149902344
1524265004.757305,19561,-1.9524428844451904
1524265654.181935,19841,-1.992138385772705
1524265839.52638,19921,-2.219672441482544
1524266358.987003,20141,-2.061147451400757
1524266451.775736,20181,-2.0179238319396973
1524266590.399148,20241,-2.1057076454162598
1524267239.925128,20521,-2.0191287994384766
1524267796.15884,20761,-2.065870761871338
1524267981.292579,20841,-2.3814516067504883
1524268074.027537,20881,-2.063138008117676
1524268213.088073,20941,-2.1269948482513428
1524268630.888464,21121,-1.8351706266403198
1524268677.656282,21141,-2.408878803253174
1524268770.418214,21181,-1.8726128339767456
1524269048.345907,21301,-2.483126163482666
1524269094.797628,21321,-1.9328281879425049
1524269372.793042,21441,-2.0662364959716797
1524269558.558037,21521,-2.2989797592163086
1524270020.905653,21721,-2.000133514404297
1524270252.134607,21821,-2.088157892227173
1524272150.663616,22641,-1.992835283279419
1524272243.146073,22681,-2.30686354637146
1524272845.339836,22941,-2.260814666748047
1524273077.192458,23041,-2.0290422439575195
1524273123.830661,23061,-2.048827648162842
1524273216.19887,23101,-2.37043833732605
1524273308.708693,23141,-2.265259265899658
1524273679.114256,23301,-2.1893954277038574
1524273864.29273,23381,-2.0067858695983887
1524273910.440798,23401,-2.128474235534668
1524274189.301005,23521,-2.494227886199951
1524274605.514087,23701,-1.9966222047805786
1524275067.517999,23901,-2.208768367767334
1524275391.925829,24041,-2.0287959575653076
1524275809.046411,24221,-2.406097173690796
1524276040.416955,24321,-2.10868501663208
1524276318.596342,24441,-2.198235273361206
1524276874.484766,24681,-2.105520725250244
1524277152.970147,24801,-2.057568311691284
1524277245.292708,24841,-2.2769978046417236
1524277337.718735,24881,-2.4523611068725586
1524277523.165631,24961,-2.083482265472412
1524277615.814053,25001,-1.9534088373184204
1524277666.410579,25021,-2.3369152545928955
1524277898.218297,25121,-2.5292863845825195
1524278222.751749,25261,-2.0916037559509277
1524278407.506866,25341,-2.4606242179870605
1524278546.500916,25401,-2.1407041549682617
1524278685.082683,25461,-2.361508846282959
1524278869.597274,25541,-2.34317946434021
1524279008.63624,25601,-2.405782461166382
1524279378.858605,25761,-2.230445623397827
1524280074.934179,26061,-2.180321455001831
1524280306.138168,26161,-2.039966344833374
1524280398.748386,26201,-2.360884189605713
1524280584.011697,26281,-2.1483850479125977
1524280630.182288,26301,-2.426241636276245
1524281232.987563,26561,-2.0318713188171387
1524281419.118742,26641,-2.2824904918670654
1524281465.644387,26661,-2.1735262870788574
1524281933.70913,26861,-2.243058681488037
1524282454.211479,27081,-2.254322052001953
1524283540.376678,27541,-1.9463226795196533
1524284756.093577,28061,-2.1795709133148193
1524285220.364955,28261,-2.1997594833374023
1524285266.562568,28281,-2.514934778213501
1524285312.996362,28301,-2.034191608428955
1524285452.164586,28361,-2.2039308547973633
1524285544.622967,28401,-2.1190335750579834
1524285683.411159,28461,-2.3216395378112793
1524285729.936591,28481,-2.2053885459899902
1524285822.280123,28521,-2.535355806350708
1524286797.359927,28941,-2.451846122741699
1524287354.32777,29181,-2.0786285400390625
1524287539.741398,29261,-2.0098369121551514
1524287911.907875,29421,-2.2715747356414795
1524288283.302952,29581,-2.224550247192383
1524288329.743004,29601,-2.476435899734497
1524288376.582124,29621,-2.591938018798828
1524288655.552636,29741,-2.535905122756958
1524288841.381713,29821,-2.0976991653442383
1524288934.219481,29861,-2.4293289184570312
1524289824.768357,30241,-2.303600311279297
1524290242.584255,30421,-2.48305606842041
1524290707.445132,30621,-1.955701231956482
1524291218.050848,30841,-2.403010129928589
1524291310.905829,30881,-2.341384172439575
1524291357.417005,30901,-2.558048725128174
1524291404.018277,30921,-2.515285015106201
1524291589.827869,31001,-2.3966450691223145
1524292797.016217,31521,-2.4451332092285156
1524292889.916202,31561,-2.569507122039795
1524292936.199239,31581,-2.111527442932129
1524293214.24569,31701,-2.3327484130859375
1524293818.7236,31961,-2.1392674446105957
1524294005.07185,32041,-2.661884307861328
1524294748.043702,32361,-2.023031234741211
1524294840.894773,32401,-2.4556961059570312
1524294887.531682,32421,-2.490184783935547
1524294980.644449,32461,-2.2605183124542236
1524295026.979637,32481,-2.620110034942627
1524295166.047373,32541,-2.5680532455444336
1524295259.016204,32581,-2.2066712379455566
1524295398.503911,32641,-2.3839898109436035
1524295445.248655,32661,-2.331906795501709
1524295863.589847,32841,-3.093139171600342
1524295956.670177,32881,-2.2094569206237793
1524296142.031066,32961,-2.220257520675659
1524296188.420432,32981,-2.254462718963623
1524296374.540657,33061,-2.4489147663116455
1524296560.288147,33141,-2.193208694458008
1524296606.484634,33161,-2.384937286376953
1524296838.692057,33261,-2.1844043731689453
1524297489.143268,33541,-2.3372340202331543
1524298603.015766,34021,-2.182671070098877
1524299532.264306,34421,-2.5274388790130615
1524300414.907769,34801,-2.5951428413391113
1524300554.258775,34861,-2.6962578296661377
1524300934.633062,35021,-2.2092738151550293
1524301260.298686,35161,-2.3619487285614014
1524301724.91703,35361,-2.213353395462036
1524302050.048595,35501,-2.213702917098999
1524302235.800155,35581,-2.09071946144104
1524302421.680207,35661,-2.2703726291656494
1524302467.953382,35681,-2.309962511062622
1524302560.751486,35721,-2.1925296783447266
1524302700.058026,35781,-2.424229621887207
1524302793.104239,35821,-2.265723466873169
1524303211.754081,36001,-2.4105420112609863
1524303397.675045,36081,-2.240906000137329
1524303768.643851,36241,-2.3254470825195312
