Wall time,Step,Value
1524221094.370007,121,0.17261311411857605
1524221208.179062,181,0.09575249254703522
1524221542.69896,361,-0.13110177218914032
1524221691.412634,441,-0.22902782261371613
1524221802.831778,501,-0.2660595774650574
1524221987.265611,601,-0.45792070031166077
1524222317.767365,781,-0.37578901648521423
1524222972.965821,1141,-0.5618942975997925
1524223009.733778,1161,-0.5884926915168762
1524223082.578704,1201,-0.43925514817237854
1524223482.76006,1421,-0.5884779691696167
1524223919.648893,1661,-0.6132766008377075
1524223955.912357,1681,-0.8179593086242676
1524224101.516322,1761,-0.8156155347824097
1524224210.446381,1821,-0.8580632209777832
1524224246.839868,1841,-0.9699307680130005
1524224755.90959,2121,-1.0248219966888428
1524224828.443664,2161,-0.7721207141876221
1524225518.943667,2541,-1.044346809387207
1524225628.114876,2601,-0.8814473152160645
1524225736.93176,2661,-0.9496943950653076
1524225773.148379,2681,-1.167380452156067
1524226100.171762,2861,-0.9009350538253784
1524227117.675822,3421,-0.9586763978004456
1524227263.207639,3501,-1.1866868734359741
1524227299.723942,3521,-1.0518481731414795
1524227663.613731,3721,-1.1635068655014038
1524227772.330701,3781,-0.990066409111023
1524227953.822868,3881,-1.1305596828460693
1524227990.031689,3901,-1.2855079174041748
1524228752.702354,4321,-1.2377194166183472
1524228898.315023,4401,-1.0962761640548706
1524228934.765882,4421,-1.281020998954773
1524229043.903584,4481,-1.301777720451355
1524229080.580574,4501,-1.1275299787521362
1524229261.975917,4601,-1.1042248010635376
1524229480.01177,4721,-1.0657907724380493
1524229516.399592,4741,-1.213910698890686
1524229552.7041,4761,-1.3663475513458252
1524229916.570241,4961,-1.2853392362594604
1524230541.458342,5301,-1.5141680240631104
1524230940.962327,5521,-1.1868669986724854
1524231559.493999,5861,-1.2943464517593384
1524231740.803384,5961,-0.9609206914901733
1524231849.746875,6021,-1.265157699584961
1524231922.323694,6061,-1.2192823886871338
1524232358.548074,6301,-1.199448823928833
1524232867.802639,6581,-1.454708456993103
1524232976.608613,6641,-1.0703697204589844
1524233340.387853,6841,-1.4574288129806519
1524233485.483496,6921,-1.2594760656356812
1524233594.366042,6981,-1.8255583047866821
1524233921.142553,7161,-1.2141042947769165
1524234030.275523,7221,-1.400675654411316
1524234248.426081,7341,-1.3659327030181885
1524234284.582816,7361,-1.424243688583374
1524234321.022818,7381,-1.172124981880188
1524234430.171749,7441,-1.4181644916534424
1524234575.236372,7521,-1.5125112533569336
1524234757.099145,7621,-1.3470951318740845
1524234902.129021,7701,-1.333115577697754
1524234938.440177,7721,-1.445429801940918
1524235373.409133,7961,-1.474388599395752
1524235555.370845,8061,-1.5471434593200684
1524235810.213296,8201,-1.6036946773529053
1524235882.810105,8241,-1.3745434284210205
1524236392.490495,8521,-1.4914045333862305
1524236610.241584,8641,-1.3532745838165283
1524236719.154404,8701,-1.400101900100708
1524236864.745812,8781,-1.4743998050689697
1524237155.432204,8941,-1.430919885635376
1524237482.866635,9121,-1.7308242321014404
1524238873.913381,9881,-1.404839038848877
1524239352.839097,10141,-1.375701665878296
1524239570.956708,10261,-1.5356115102767944
1524239607.367815,10281,-1.3685557842254639
1524239643.592438,10301,-1.5762958526611328
1524239752.390808,10361,-1.4627283811569214
1524239971.098172,10481,-1.611915111541748
1524240007.486149,10501,-1.6029016971588135
1524240262.251749,10641,-1.4268499612808228
1524240552.943554,10801,-1.6120545864105225
1524240952.119961,11021,-1.366619348526001
1524240988.552341,11041,-1.3663091659545898
1524241025.013355,11061,-1.5558598041534424
1524241061.577615,11081,-1.3764996528625488
1524241425.275952,11281,-1.653322696685791
1524241716.55461,11441,-1.5312259197235107
1524241789.491086,11481,-1.5082520246505737
1524241898.715937,11541,-1.4554517269134521
1524241935.062089,11561,-1.493604302406311
1524242044.315861,11621,-1.5699292421340942
1524242262.482304,11741,-1.5398199558258057
1524242335.117129,11781,-1.4958311319351196
1524242479.9629,11861,-1.6240144968032837
1524242843.503752,12061,-1.646125078201294
1524242952.35906,12121,-1.6548945903778076
1524243170.081571,12241,-1.559770107269287
1524243279.031663,12301,-1.4240596294403076
1524243787.323173,12581,-1.5736119747161865
1524244114.082278,12761,-2.144991636276245
1524244332.246219,12881,-1.6193077564239502
1524244550.504884,13001,-1.566104769706726
1524244623.259459,13041,-1.4719496965408325
1524244841.699702,13161,-1.7683570384979248
1524244914.598692,13201,-1.3170008659362793
1524244951.121557,13221,-1.4870173931121826
1524245060.149535,13281,-1.5470577478408813
1524245242.08178,13381,-1.6156249046325684
1524245351.530686,13441,-1.7746188640594482
1524245642.132745,13601,-1.793835997581482
1524246005.757546,13801,-1.985992431640625
1524246078.633988,13841,-1.7911558151245117
1524246260.242161,13941,-1.4740116596221924
1524246405.572146,14021,-1.8362880945205688
1524246660.029355,14161,-1.7674479484558105
1524247933.264392,14861,-1.597366213798523
1524248042.48627,14921,-1.5683282613754272
1524248267.278699,15041,-1.7079461812973022
1524248448.922497,15141,-1.8149042129516602
1524248521.646849,15181,-1.6636263132095337
1524248594.365782,15221,-1.6155667304992676
1524248666.968482,15261,-1.546247959136963
1524248885.459995,15381,-1.8330312967300415
1524249031.259163,15461,-1.756152868270874
1524249649.810398,15801,-1.7561023235321045
1524249686.146579,15821,-1.6849161386489868
1524249795.183746,15881,-1.6151154041290283
1524249976.835354,15981,-1.4345619678497314
1524250013.212262,16001,-1.7990204095840454
1524250376.372315,16201,-1.7035620212554932
1524250558.478062,16301,-1.6917215585708618
1524250594.785785,16321,-1.8896713256835938
1524250740.909013,16401,-1.5877904891967773
1524250813.636185,16441,-1.9225128889083862
1524250995.186274,16541,-1.7808985710144043
1524251067.994557,16581,-1.7805019617080688
1524251176.938853,16641,-1.752812147140503
1524251540.144152,16841,-1.8504489660263062
1524251841.15664,17001,-1.7018218040466309
1524251879.280601,17021,-1.726456880569458
1524252070.183975,17121,-1.7116949558258057
1524252261.765509,17221,-1.631028413772583
1524252492.562046,17341,-2.0385220050811768
1524252530.973022,17361,-1.9105007648468018
1524252684.403818,17441,-1.6874521970748901
1524252876.340608,17541,-1.9824879169464111
1524253144.153987,17681,-1.6303327083587646
1524253182.38315,17701,-1.8537797927856445
1524253258.75873,17741,-1.7225443124771118
1524253335.329058,17781,-1.6050894260406494
1524253833.508105,18041,-1.8511954545974731
1524253871.594164,18061,-1.638106346130371
1524253948.03958,18101,-2.2879600524902344
1524254292.501579,18281,-1.738747477531433
1524254942.477619,18621,-1.8037446737289429
1524254980.61077,18641,-1.6927810907363892
1524255095.642084,18701,-1.6802576780319214
1524255324.600968,18821,-1.7216516733169556
1524255400.862024,18861,-1.6781134605407715
1524256628.508748,19501,-1.708803415298462
1524256743.222704,19561,-1.8658990859985352
1524257279.227444,19841,-1.7559560537338257
1524257432.118823,19921,-1.7115724086761475
1524257860.471729,20141,-1.6449013948440552
1524257937.156055,20181,-1.6897780895233154
1524258051.938934,20241,-1.6719706058502197
1524258588.005946,20521,-1.6585016250610352
1524259048.057019,20761,-1.6718330383300781
1524259200.816384,20841,-1.8725184202194214
1524259277.172697,20881,-1.7810304164886475
1524259391.918361,20941,-1.761337399482727
1524259737.598635,21121,-1.7635493278503418
1524259775.661581,21141,-1.5928772687911987
1524259852.256824,21181,-1.5157309770584106
1524260081.840602,21301,-1.7075237035751343
1524260119.832396,21321,-1.6865589618682861
1524260349.959465,21441,-1.7873753309249878
1524260503.31457,21521,-1.8725438117980957
1524260886.903487,21721,-1.5916215181350708
1524261078.130321,21821,-1.741896390914917
1524262649.459853,22641,-1.6071964502334595
1524262726.222926,22681,-2.0498313903808594
1524263223.966616,22941,-1.8435156345367432
1524263416.278943,23041,-2.0241713523864746
1524263454.28619,23061,-1.7135504484176636
1524263531.004905,23101,-1.885090947151184
1524263607.616486,23141,-1.986425518989563
1524263913.587741,23301,-1.6894599199295044
1524264066.678873,23381,-1.8340741395950317
1524264105.041606,23401,-1.925421118736267
1524264334.450172,23521,-1.5710200071334839
1524264678.808354,23701,-1.7281503677368164
1524265061.485576,23901,-1.8883706331253052
1524265330.007684,24041,-1.8290587663650513
1524265675.023915,24221,-1.7201919555664062
1524265866.493329,24321,-1.8640192747116089
1524266095.381675,24441,-1.8561214208602905
1524266555.035478,24681,-1.8489896059036255
1524266784.956352,24801,-1.986203908920288
1524266861.619616,24841,-2.341841220855713
1524266938.287111,24881,-1.7560328245162964
1524267092.058152,24961,-1.7512507438659668
1524267168.463374,25001,-1.9372591972351074
1524267213.831344,25021,-1.9233508110046387
1524267405.148931,25121,-2.086186647415161
1524267673.062471,25261,-1.832696795463562
1524267825.773018,25341,-1.7946932315826416
1524267940.661783,25401,-1.8674958944320679
1524268055.271683,25461,-1.9698569774627686
