Wall time,Step,Value
1524221094.370037,121,0.1559222787618637
1524221208.179109,181,0.07945138216018677
1524221542.699003,361,-0.15098176896572113
1524221691.412676,441,-0.25471732020378113
1524221802.831825,501,-0.29140856862068176
1524221987.265645,601,-0.4864361584186554
1524222317.767414,781,-0.40981578826904297
1524222972.965856,1141,-0.6012335419654846
1524223009.733828,1161,-0.6290430426597595
1524223082.578737,1201,-0.4839615821838379
1524223482.760102,1421,-0.6352298259735107
1524223919.648932,1661,-0.6627720594406128
1524223955.912409,1681,-0.8718945384025574
1524224101.516372,1761,-0.8714393973350525
1524224210.44643,1821,-0.9156098365783691
1524224246.839906,1841,-1.0280762910842896
1524224755.909642,2121,-1.0902750492095947
1524224828.443702,2161,-0.8321788907051086
1524225518.943716,2541,-1.1134146451950073
1524225628.114916,2601,-0.9493592381477356
1524225736.931803,2661,-1.0170605182647705
1524225773.148409,2681,-1.238163948059082
1524226100.171822,2861,-0.9697420597076416
1524227117.675855,3421,-1.0337178707122803
1524227263.207687,3501,-1.266034722328186
1524227299.723985,3521,-1.128470540046692
1524227663.613766,3721,-1.2467398643493652
1524227772.33074,3781,-1.0692967176437378
1524227953.822898,3881,-1.21308171749115
1524227990.031728,3901,-1.3687670230865479
1524228752.702398,4321,-1.3282986879348755
1524228898.315064,4401,-1.1762176752090454
1524228934.765926,4421,-1.3618013858795166
1524229043.903614,4481,-1.3833186626434326
1524229080.580625,4501,-1.2105228900909424
1524229261.975965,4601,-1.1877567768096924
1524229480.011806,4721,-1.1456061601638794
1524229516.399637,4741,-1.3010510206222534
1524229552.704137,4761,-1.4551231861114502
1524229916.570286,4961,-1.375705599784851
1524230541.458376,5301,-1.6078871488571167
1524230940.962377,5521,-1.2776011228561401
1524231559.494037,5861,-1.3850255012512207
1524231740.803417,5961,-1.0472890138626099
1524231849.746907,6021,-1.3575984239578247
1524231922.323745,6061,-1.3133294582366943
1524232358.548124,6301,-1.2925482988357544
1524232867.802685,6581,-1.5545105934143066
1524232976.608663,6641,-1.1606776714324951
1524233340.387911,6841,-1.5602846145629883
1524233485.483526,6921,-1.354914665222168
1524233594.366091,6981,-1.930551528930664
1524233921.142587,7161,-1.3099403381347656
1524234030.275569,7221,-1.5030279159545898
1524234248.426127,7341,-1.4675909280776978
1524234284.582851,7361,-1.5268193483352661
1524234321.022865,7381,-1.2688649892807007
1524234430.171787,7441,-1.519230604171753
1524234575.236418,7521,-1.6194934844970703
1524234757.099336,7621,-1.4485177993774414
1524234902.129074,7701,-1.438759446144104
1524234938.440218,7721,-1.551185131072998
1524235373.409162,7961,-1.5834559202194214
1524235555.370897,8061,-1.6552380323410034
1524235810.213352,8201,-1.716982364654541
1524235882.810136,8241,-1.4837112426757812
1524236392.490535,8521,-1.603778600692749
1524236610.24162,8641,-1.4643703699111938
1524236719.154453,8701,-1.5086777210235596
1524236864.745857,8781,-1.5857603549957275
1524237155.432242,8941,-1.543418049812317
1524237482.866674,9121,-1.852638602256775
1524238873.913425,9881,-1.522600769996643
1524239352.839138,10141,-1.4920533895492554
1524239570.956761,10261,-1.6538012027740479
1524239607.367848,10281,-1.4860044717788696
1524239643.592485,10301,-1.693239688873291
1524239752.390864,10361,-1.5815539360046387
1524239971.09821,10481,-1.7357115745544434
1524240007.486191,10501,-1.728371262550354
1524240262.251803,10641,-1.5466395616531372
1524240552.943603,10801,-1.7414871454238892
1524240952.120018,11021,-1.488307237625122
1524240988.552381,11041,-1.489156723022461
1524241025.013388,11061,-1.6802325248718262
1524241061.577656,11081,-1.4984747171401978
1524241425.275999,11281,-1.7819994688034058
1524241716.554668,11441,-1.654367208480835
1524241789.491117,11481,-1.633622646331787
1524241898.715974,11541,-1.580029010772705
1524241935.062125,11561,-1.6209864616394043
1524242044.315913,11621,-1.700215220451355
1524242262.482356,11741,-1.6675547361373901
1524242335.117164,11781,-1.625031590461731
1524242479.962938,11861,-1.756072998046875
1524242843.503806,12061,-1.7775248289108276
1524242952.359106,12121,-1.7883578538894653
1524243170.081623,12241,-1.6927942037582397
1524243279.031694,12301,-1.5509401559829712
1524243787.323222,12581,-1.7059959173202515
1524244114.082313,12761,-2.287790060043335
1524244332.246252,12881,-1.7521878480911255
1524244550.504935,13001,-1.7019294500350952
1524244623.259499,13041,-1.6071144342422485
1524244841.699759,13161,-1.906678557395935
1524244914.598733,13201,-1.4480843544006348
1524244951.121611,13221,-1.622367024421692
1524245060.149571,13281,-1.6821218729019165
1524245242.081814,13381,-1.754048228263855
1524245351.530733,13441,-1.9156813621520996
1524245642.132785,13601,-1.940149188041687
1524246005.757593,13801,-2.131629705429077
1524246078.634037,13841,-1.9370454549789429
1524246260.242193,13941,-1.612187147140503
1524246405.572198,14021,-1.9787532091140747
1524246660.029397,14161,-1.9117485284805298
1524247933.264431,14861,-1.739488959312439
1524248042.486318,14921,-1.7152644395828247
1524248267.278741,15041,-1.853286623954773
1524248448.92255,15141,-1.966151237487793
1524248521.646886,15181,-1.812741994857788
1524248594.365831,15221,-1.7650387287139893
1524248666.968538,15261,-1.6914995908737183
1524248885.460039,15381,-1.9836851358413696
1524249031.259199,15461,-1.9037233591079712
1524249649.810434,15801,-1.91055166721344
1524249686.146614,15821,-1.838769555091858
1524249795.18378,15881,-1.7668309211730957
1524249976.835399,15981,-1.5784127712249756
1524250013.212294,16001,-1.9558707475662231
1524250376.372361,16201,-1.8547639846801758
1524250558.478097,16301,-1.8416602611541748
1524250594.785831,16321,-2.042144775390625
1524250740.909062,16401,-1.740343451499939
1524250813.636229,16441,-2.075181007385254
1524250995.186322,16541,-1.9356311559677124
1524251067.994606,16581,-1.9338839054107666
1524251176.938892,16641,-1.9058589935302734
1524251540.144188,16841,-2.0113532543182373
1524251841.15669,17001,-1.8592129945755005
1524251879.280635,17021,-1.8819050788879395
1524252070.184014,17121,-1.8690781593322754
1524252261.76554,17221,-1.789201021194458
1524252492.562097,17341,-2.198977470397949
1524252530.973068,17361,-2.0704843997955322
1524252684.40386,17441,-1.8502888679504395
1524252876.340659,17541,-2.143911838531494
1524253144.154037,17681,-1.7861441373825073
1524253182.383185,17701,-2.017335891723633
1524253258.758778,17741,-1.882728099822998
1524253335.329121,17781,-1.762630820274353
1524253833.508155,18041,-2.0193099975585938
1524253871.594217,18061,-1.7980740070343018
1524253948.039612,18101,-2.4588258266448975
1524254292.501625,18281,-1.902880072593689
1524254942.477654,18621,-1.9676213264465332
1524254980.610838,18641,-1.8560112714767456
1524255095.642136,18701,-1.8431358337402344
1524255324.60102,18821,-1.8812601566314697
1524255400.86207,18861,-1.8434464931488037
1524256628.508789,19501,-1.8753900527954102
1524256743.222753,19561,-2.0357301235198975
1524257279.227487,19841,-1.9222309589385986
1524257432.118864,19921,-1.8827757835388184
1524257860.471766,20141,-1.8114219903945923
1524257937.156101,20181,-1.8600349426269531
1524258051.938971,20241,-1.8404661417007446
1524258588.005988,20521,-1.8287749290466309
1524259048.057056,20761,-1.8406972885131836
1524259200.816427,20841,-2.0433661937713623
1524259277.172731,20881,-1.9550992250442505
1524259391.918416,20941,-1.936984658241272
1524259737.598683,21121,-1.933445930480957
1524259775.661617,21141,-1.7629475593566895
1524259852.256869,21181,-1.6818270683288574
1524260081.840651,21301,-1.8797125816345215
1524260119.832433,21321,-1.8564783334732056
1524260349.959508,21441,-1.9610315561294556
1524260503.314603,21521,-2.0446183681488037
1524260886.90352,21721,-1.7652592658996582
1524261078.130369,21821,-1.9181544780731201
1524262649.459883,22641,-1.7807302474975586
1524262726.222973,22681,-2.2344324588775635
1524263223.966646,22941,-2.025067090988159
1524263416.278974,23041,-2.204838752746582
1524263454.286221,23061,-1.8936774730682373
1524263531.004972,23101,-2.066577672958374
1524263607.616539,23141,-2.1733791828155518
1524263913.587776,23301,-1.8713116645812988
1524264066.678913,23381,-2.0168378353118896
1524264105.041648,23401,-2.1106107234954834
1524264334.450223,23521,-1.744768500328064
1524264678.808392,23701,-1.9100229740142822
1524265061.485622,23901,-2.0757524967193604
1524265330.007727,24041,-2.0132288932800293
1524265675.023965,24221,-1.905257225036621
1524265866.493361,24321,-2.0517446994781494
1524266095.381718,24441,-2.04129958152771
1524266555.035526,24681,-2.042278528213501
1524266784.956432,24801,-2.1754512786865234
1524266861.619647,24841,-2.5342862606048584
1524266938.287145,24881,-1.9374356269836426
1524267092.058184,24961,-1.9367518424987793
1524267168.463421,25001,-2.127359628677368
1524267213.831386,25021,-2.110185146331787
1524267405.149066,25121,-2.2746520042419434
1524267673.062507,25261,-2.0237796306610107
1524267825.773067,25341,-1.9795582294464111
1524267940.66182,25401,-2.0585083961486816
1524268055.271714,25461,-2.1611509323120117
1524268208.015521,25541,-1.9401612281799316
1524268322.449552,25601,-1.8449242115020752
1524268628.357384,25761,-1.9348289966583252
1524269204.695694,26061,-1.9477148056030273
1524269396.228271,26161,-1.9947826862335205
1524269472.632286,26201,-2.0195019245147705
1524269625.600653,26281,-2.2337565422058105
1524269663.961516,26301,-1.8975820541381836
1524270162.241482,26561,-2.2370829582214355
1524270315.199974,26641,-2.2464959621429443
1524270353.451358,26661,-1.776021957397461
1524270737.130773,26861,-1.934723973274231
1524271158.897289,27081,-2.047351598739624
1524272039.163466,27541,-2.105895757675171
1524273034.466904,28061,-2.0866241455078125
1524273417.54762,28261,-2.1010775566101074
1524273455.716214,28281,-2.188471794128418
1524273494.060829,28301,-2.223024845123291
1524273608.64686,28361,-1.954146385192871
1524273684.766408,28401,-1.917457938194275
1524273799.593642,28461,-2.1423745155334473
1524273837.993862,28481,-1.9974700212478638
1524273914.263401,28521,-1.977790117263794
1524274719.470718,28941,-2.174811840057373
1524275179.054324,29181,-2.1713788509368896
1524275332.001694,29261,-1.9678541421890259
1524275638.275412,29421,-1.9430241584777832
1524275945.39648,29581,-1.8659554719924927
1524275983.477501,29601,-1.9227445125579834
1524276021.695515,29621,-2.156811475753784
1524276251.600703,29741,-1.9684433937072754
1524276404.408806,29821,-2.000905752182007
1524276481.38685,29861,-1.981092929840088
1524277211.200595,30241,-2.4119277000427246
1524277555.910397,30421,-2.0991086959838867
1524277938.696993,30621,-2.293325424194336
1524278359.421814,30841,-2.1599807739257812
1524278435.633797,30881,-2.5776631832122803
1524278473.880239,30901,-2.1578855514526367
1524278512.158494,30921,-2.0236456394195557
1524278665.915879,31001,-1.9858455657958984
1524279662.197775,31521,-2.2911367416381836
1524279738.549614,31561,-2.2847788333892822
1524279777.021896,31581,-2.326350212097168
1524280006.686486,31701,-2.060976028442383
1524280504.011921,31961,-2.3313257694244385
1524280655.884869,32041,-2.2453794479370117
1524281269.061321,32361,-1.9095947742462158
1524281345.616889,32401,-2.1923439502716064
1524281383.788018,32421,-2.5515975952148438
1524281460.310137,32461,-2.436525583267212
1524281499.002354,32481,-2.2169227600097656
1524281613.760565,32541,-1.9420089721679688
1524281690.573856,32581,-1.9523932933807373
1524281807.260084,32641,-2.1089792251586914
1524281847.1457,32661,-1.8237906694412231
1524282200.628374,32841,-2.2236618995666504
1524282279.012356,32881,-2.009275436401367
1524282436.417345,32961,-1.8679639101028442
1524282476.139894,32981,-2.1301422119140625
1524282632.124538,33061,-2.2102537155151367
1524282789.443632,33141,-2.2191436290740967
1524282827.769149,33161,-2.1963210105895996
1524283021.091608,33261,-2.193497657775879
1524283574.42362,33541,-2.3569092750549316
1524284506.064991,34021,-2.142163038253784
1524285273.575922,34421,-2.1044812202453613
1524286002.081749,34801,-2.3003363609313965
1524286117.218869,34861,-2.2296011447906494
1524286430.669562,35021,-2.112636089324951
1524286699.877752,35161,-2.2042744159698486
1524287083.670623,35361,-1.8127923011779785
1524287352.507295,35501,-2.0704827308654785
1524287505.382388,35581,-2.282416820526123
1524287659.099401,35661,-2.4795608520507812
1524287697.406484,35681,-2.2992537021636963
1524287774.135512,35721,-2.1857717037200928
1524287889.666236,35781,-1.9308909177780151
1524287966.222485,35821,-1.9093431234359741
1524288311.376073,36001,-1.9583330154418945
1524288465.570705,36081,-1.9912357330322266
1524288772.941038,36241,-1.817978858947754
1524288887.970173,36301,-2.4087791442871094
1524288964.446568,36341,-2.0737082958221436
1524289002.55711,36361,-2.1604061126708984
1524289117.720322,36421,-2.4528145790100098
1524289270.940698,36501,-1.9379844665527344
1524289769.415638,36761,-2.1727612018585205
1524290268.075478,37021,-2.0600194931030273
1524290344.793732,37061,-2.284001111984253
1524290844.252285,37321,-2.0213418006896973
1524290882.395377,37341,-2.094130754470825
1524291074.223321,37441,-2.0210180282592773
1524291266.147934,37541,-2.1998088359832764
1524291688.607865,37761,-2.1975629329681396
1524291842.54872,37841,-2.4793593883514404
1524292188.649723,38021,-2.4775285720825195
1524292227.004258,38041,-2.2968809604644775
1524292303.52112,38081,-2.0888326168060303
1524292380.242107,38121,-2.16538143157959
1524292495.633737,38181,-2.043717384338379
1524292955.971625,38421,-1.889102816581726
1524293146.852424,38521,-1.8644483089447021
1524293453.893973,38681,-1.885322093963623
1524293607.391695,38761,-2.4210150241851807
1524293837.490877,38881,-1.899825096130371
1524294106.98048,39021,-2.1001975536346436
1524294299.247272,39121,-2.085768938064575
1524294567.762508,39261,-2.3084137439727783
1524294644.313653,39301,-2.3595449924468994
1524294912.375397,39441,-2.233454942703247
1524295258.112476,39621,-2.3468775749206543
1524295488.234096,39741,-2.1693921089172363
1524295565.174648,39781,-2.077765703201294
1524295757.357711,39881,-2.343385696411133
1524295795.560524,39901,-2.268650770187378
1524296417.105834,40221,-2.152534246444702
1524296647.524176,40341,-2.712799549102783
1524296993.768475,40521,-1.8618766069412231
1524297607.915799,40841,-2.1034858226776123
1524297992.573459,41041,-2.1304078102111816
1524298107.367728,41101,-2.0255801677703857
1524298414.815577,41261,-2.2195756435394287
1524298952.393166,41541,-1.9966297149658203
1524299182.80938,41661,-2.2022433280944824
1524299336.845545,41741,-2.4073002338409424
1524299490.553358,41821,-1.887687087059021
1524299606.115614,41881,-2.5598912239074707
1524299682.456173,41921,-2.0530924797058105
1524300219.741048,42201,-2.530261993408203
1524300296.547848,42241,-2.1202428340911865
1524301063.52594,42641,-1.7958298921585083
1524301217.724804,42721,-2.190157413482666
1524301447.831615,42841,-2.3616061210632324
1524301678.56377,42961,-2.0862553119659424
1524301794.197103,43021,-2.5349063873291016
1524302408.527544,43341,-2.0704383850097656
1524302485.155201,43381,-2.17379093170166
1524302753.848572,43521,-2.4302945137023926
1524302792.015305,43541,-2.282869815826416
1524302946.054275,43621,-2.2281064987182617
1524303022.42043,43661,-2.5704331398010254
1524303329.575647,43821,-1.920857310295105
1524303367.830884,43841,-2.1355912685394287
1524303445.018379,43881,-2.736304998397827
1524303521.323759,43921,-2.2427475452423096
1524303559.693796,43941,-2.3954405784606934
