Wall time,Step,Value
1524221979.709305,441,-0.6875646710395813
1524223261.95785,1141,-0.8655465841293335
1524224200.150848,1661,-1.019839882850647
1524224521.622284,1841,-1.1237269639968872
1524225878.222931,2601,-1.3472900390625
1524227342.20797,3421,-1.2061997652053833
1524227984.177204,3781,-1.4090790748596191
1524229091.437191,4401,-1.6056822538375854
1524229448.781849,4601,-1.6186232566833496
1524230091.486741,4961,-2.045048236846924
1524231883.886308,5961,-1.8874568939208984
1524232992.904428,6581,-1.668568730354309
1524233707.704466,6981,-1.6736096143722534
1524234386.996878,7361,-2.026806354522705
1524234851.351677,7621,-1.715479850769043
1524235636.583158,8061,-2.2228643894195557
1524236672.72709,8641,-2.120281934738159
1524237530.947606,9121,-1.7198388576507568
1524239619.843355,10281,-1.9395643472671509
1524240013.369455,10501,-2.1502652168273926
1524240977.560646,11041,-1.7253453731536865
1524241692.329977,11441,-2.183095932006836
1524242014.398566,11621,-2.187074661254883
1524242800.127824,12061,-1.9583429098129272
1524243728.258402,12581,-2.0452985763549805
1524244549.590509,13041,-1.8894919157028198
1524244978.757844,13281,-1.7387032508850098
1524245907.995669,13801,-1.9526872634887695
1524246552.080762,14161,-1.8491499423980713
1524248310.470348,15141,-1.9059092998504639
1524248739.528309,15381,-1.8107869625091553
1524249634.811935,15881,-1.8650968074798584
1524250385.982141,16301,-1.876173734664917
1524250815.282959,16541,-1.996878981590271
1524251637.521153,17001,-2.115016460418701
1524252278.097218,17341,-2.6504881381988525
1524252918.424268,17681,-2.002051830291748
1524253595.920546,18041,-2.1164498329162598
1524254687.892541,18621,-2.4269368648529053
1524255139.730719,18861,-1.9045360088348389
1524257135.581638,19921,-2.296968936920166
1524258272.065296,20521,-2.674729347229004
1524259062.467348,20941,-2.1095590591430664
1524259740.847617,21301,-1.9886196851730347
1524260530.364916,21721,-1.756069540977478
1524262824.875024,22941,-2.1402249336242676
1524263200.829803,23141,-2.128235101699829
1524263915.643436,23521,-2.3245511054992676
1524265234.182957,24221,-2.1466338634490967
1524266325.301052,24801,-2.169438123703003
1524266701.776536,25001,-2.350444793701172
1524267349.701841,25341,-2.331658124923706
1524267838.193026,25601,-2.211620569229126
1524268967.525429,26201,-2.159900426864624
1524269795.907975,26641,-2.148833751678467
1524271489.676666,27541,-2.01137638092041
1524272919.614852,28301,-2.593571424484253
1524273258.218314,28481,-2.646602153778076
1524274725.060033,29261,-2.248386859893799
1524275403.362035,29621,-2.4396300315856934
1524276578.774935,30241,-2.3553988933563232
1524277783.558488,30881,-2.3281807899475098
1524278987.502835,31521,-2.063115119934082
1524279815.890699,31961,-2.0592639446258545
1524280680.849201,32421,-2.2810113430023193
1524280981.574026,32581,-2.2610371112823486
1524281547.373883,32881,-2.3177754878997803
1524282046.105592,33141,-2.473581075668335
1524283741.310881,34021,-2.367384195327759
1524285646.953712,35021,-2.208308219909668
1524286704.603192,35581,-2.703963279724121
1524287082.539016,35781,-1.9474618434906006
1524287950.507759,36241,-2.5767743587493896
1524288290.146058,36421,-2.5561649799346924
1524289498.43321,37061,-2.268986940383911
1524290405.391277,37541,-2.7712349891662598
1524291349.210984,38041,-2.0678858757019043
1524292066.295697,38421,-2.0219712257385254
1524292934.53176,38881,-1.9290802478790283
1524293726.470304,39301,-2.142822265625
1524294633.16231,39781,-2.1497623920440674
1524295699.609259,40341,-2.7491095066070557
1524297136.020732,41101,-2.2967424392700195
1524298343.732848,41741,-2.6637682914733887
1524299210.55223,42201,-2.2416913509368896
1524300419.306399,42841,-2.3595995903015137
1524301438.351377,43381,-2.7065773010253906
1524301966.590829,43661,-2.3597333431243896
1524302457.486416,43921,-2.3482065200805664
1524303478.2901,44461,-2.0165250301361084
1524304806.172614,45161,-2.1064226627349854
1524305410.603698,45481,-2.291560411453247
1524306089.832275,45841,-2.4522104263305664
1524306882.783145,46261,-2.2821078300476074
1524308090.523531,46901,-2.2501978874206543
1524310846.800131,48361,-2.1357779502868652
1524311754.262675,48841,-2.414473295211792
1524312773.67581,49381,-2.0607943534851074
1524313150.845878,49581,-2.102280855178833
1524314476.81535,50281,-2.290126323699951
1524315382.262479,50761,-2.468522071838379
1524315950.213517,51061,-2.0831289291381836
1524316554.940003,51381,-2.1709072589874268
1524317423.583802,51841,-2.0509166717529297
1524317990.06234,52141,-2.242004871368408
1524319426.11709,52901,-2.677938938140869
1524320293.921051,53361,-2.5482654571533203
1524321131.063775,53801,-2.4741930961608887
1524322125.68659,54321,-2.1145942211151123
1524322618.260693,54581,-2.0266802310943604
1524323240.803469,54901,-2.19165301322937
1524324576.048782,55601,-2.3443591594696045
1524325104.830911,55881,-2.255105972290039
1524325670.242248,56181,-2.101857900619507
1524326162.439218,56441,-2.4392507076263428
1524326956.136343,56861,-2.5293424129486084
1524327635.40388,57221,-2.1536293029785156
1524328238.524781,57541,-1.9400931596755981
1524328842.258589,57861,-2.2236201763153076
1524329370.533965,58141,-2.0627083778381348
1524331785.189653,59421,-2.1881792545318604
1524332238.407176,59661,-2.3369247913360596
1524334130.799111,60661,-2.4602127075195312
1524335148.861376,61201,-2.144238233566284
1524335714.682403,61501,-2.305513858795166
1524336659.450926,62001,-2.3821659088134766
1524337225.469443,62301,-2.115579128265381
1524338017.987074,62721,-2.6391680240631104
1524339490.457298,63501,-2.2785544395446777
1524340698.081295,64141,-2.356891393661499
1524341868.348762,64761,-2.3512988090515137
1524343267.785692,65501,-2.5790553092956543
1524343870.986804,65821,-2.4512786865234375
1524344399.807372,66101,-2.9667365550994873
1524345004.280886,66421,-2.1451761722564697
1524345835.044178,66861,-2.2253408432006836
1524347274.640874,67621,-2.5807487964630127
1524348258.205714,68141,-2.174781322479248
1524348937.817657,68501,-2.4192118644714355
1524349885.421421,69001,-2.2824909687042236
1524350754.227344,69461,-2.2774457931518555
1524351548.099508,69881,-2.2248809337615967
1524351971.26311,70101,-2.3237714767456055
1524353860.640528,71101,-2.2679080963134766
1524354464.554906,71421,-2.3147337436676025
1524355522.77878,71981,-2.675816774368286
1524356279.658663,72381,-2.7580575942993164
1524357264.151897,72901,-2.958613395690918
1524358397.932186,73501,-2.173163652420044
1524359759.801127,74221,-2.1942739486694336
1524361044.766056,74901,-1.9531340599060059
1524361425.071939,75101,-2.1896114349365234
1524362445.473853,75641,-2.2311532497406006
1524363126.413013,76001,-2.224724769592285
1524364071.295828,76501,-2.0826103687286377
1524364980.239401,76981,-2.6130776405334473
1524365584.788216,77301,-2.4849205017089844
1524366908.173271,78001,-2.412532091140747
1524368800.423902,79001,-2.0877532958984375
1524369405.757457,79321,-2.4179491996765137
1524370814.008535,80061,-2.2455875873565674
1524372590.396278,81001,-2.405076026916504
1524373043.536556,81241,-2.321861505508423
1524374366.197053,81941,-2.5132720470428467
1524374896.06103,82221,-2.077986717224121
1524376258.923327,82941,-2.371051073074341
1524377054.595093,83361,-2.2904844284057617
1524377810.031921,83761,-2.1300973892211914
1524379548.966143,84681,-2.0424575805664062
1524380346.782601,85101,-2.8717050552368164
1524380725.149485,85301,-2.149306058883667
1524381290.9936,85601,-2.263061285018921
1524382463.411687,86221,-2.298318862915039
1524383899.701109,86981,-2.065373420715332
1524385336.605187,87741,-2.3603861331939697
1524386735.286915,88481,-2.4190008640289307
1524387453.710769,88861,-2.6125335693359375
1524388475.02899,89401,-2.768749713897705
1524389307.392427,89841,-2.565415143966675
1524390481.759941,90461,-2.893104314804077
1524390934.969718,90701,-2.2769393920898438
1524392069.764605,91301,-2.1030733585357666
1524393166.894746,91881,-2.4649417400360107
1524393695.28343,92161,-2.411817789077759
1524394828.584807,92761,-2.45316219329834
1524395472.777193,93101,-2.0722293853759766
1524396797.619774,93801,-2.779590368270874
1524397061.844478,93941,-2.1833701133728027
1524397704.25161,94281,-2.195841073989868
1524398573.802808,94741,-2.445172071456909
1524401184.283858,96121,-2.329633951187134
1524401750.699615,96421,-2.2569210529327393
1524402809.89207,96981,-2.46207857131958
1524403755.075682,97481,-2.0909061431884766
1524404284.140199,97761,-2.398111343383789
1524405230.630671,98261,-2.5222737789154053
1524405873.545252,98601,-2.593573808670044
1524406590.563412,98981,-2.2572507858276367
1524407308.200985,99361,-2.101191520690918
1524408329.659048,99901,-2.858532667160034
1524409693.993065,100621,-2.2479257583618164
1524410713.959511,101161,-2.528073310852051
1524411394.819718,101521,-2.151543617248535
1524412264.624985,101981,-2.180356025695801
1524413247.693071,102501,-2.437943458557129
1524414156.232179,102981,-2.508357286453247
1524414572.16595,103201,-2.688513994216919
1524414836.633491,103341,-2.207552671432495
1524416158.612388,104041,-2.399914026260376
1524416802.905081,104381,-2.8825786113739014
1524417484.196489,104741,-2.5291409492492676
1524418583.299207,105321,-2.386587381362915
1524420739.756791,106461,-2.2809712886810303
1524421646.842601,106941,-2.337296962738037
1524423045.490402,107681,-2.1820995807647705
1524423575.763337,107961,-2.115769386291504
1524424595.629897,108501,-2.1436336040496826
1524425767.550572,109121,-2.352267265319824
1524426713.204246,109621,-2.3698134422302246
1524427394.183915,109981,-2.1227121353149414
1524428341.782502,110481,-2.2519824504852295
1524429251.264219,110961,-2.2926526069641113
1524430234.411989,111481,-2.212009906768799
1524431104.447678,111941,-2.154325246810913
1524431746.824628,112281,-2.286787271499634
1524432200.570623,112521,-2.1511402130126953
1524433146.156791,113021,-2.0741283893585205
1524433638.280138,113281,-2.229719400405884
1524434317.677181,113641,-2.2021396160125732
1524434922.671062,113961,-2.559692144393921
1524436736.785971,114921,-2.3087399005889893
1524437273.76844,115201,-2.1760447025299072
1524438104.981456,115641,-2.0429205894470215
1524439201.514116,116221,-2.819340467453003
1524440185.470781,116741,-2.103452444076538
1524442076.770845,117741,-2.3149614334106445
1524443172.723116,118321,-2.0649712085723877
1524444345.209219,118941,-2.7224361896514893
1524445443.590709,119521,-2.3917360305786133
1524447374.593224,120541,-2.2235567569732666
1524448017.662188,120881,-2.1257176399230957
1524449757.675652,121801,-2.064878225326538
1524450892.375579,122401,-3.0377793312072754
1524451952.051749,122961,-2.156925678253174
1524452518.711485,123261,-2.1510090827941895
1524453425.642383,123741,-2.493011951446533
1524453766.197792,123921,-2.648862600326538
1524454334.981049,124221,-2.1626384258270264
1524455129.735459,124641,-2.51169490814209
1524456700.018219,125461,-2.4367079734802246
