Wall time,Step,Value
1524221393.987731,121,-0.14948558807373047
1524221503.926985,181,-0.3355031907558441
1524221833.547952,361,-0.48421165347099304
1524221979.709334,441,-0.7117260694503784
1524222089.510909,501,-0.620530903339386
1524222273.135687,601,-0.8929380178451538
1524222602.787295,781,-0.7888774871826172
1524223261.957899,1141,-0.9073601961135864
1524223298.685208,1161,-0.8767224550247192
1524223371.688429,1201,-1.034322738647461
1524223769.599148,1421,-1.1399650573730469
1524224200.15089,1661,-1.0741713047027588
1524224235.777516,1681,-1.2933986186981201
1524224378.823538,1761,-1.374213457107544
1524224486.195614,1821,-1.8517411947250366
1524224521.62231,1841,-1.1827099323272705
1524225021.552421,2121,-1.2480740547180176
1524225092.81162,2161,-1.1484882831573486
1524225770.931824,2541,-1.2498080730438232
1524225878.222972,2601,-1.4205596446990967
1524225985.541486,2661,-1.5479207038879395
1524226021.300406,2681,-1.2519594430923462
1524226343.377838,2861,-1.285050392150879
1524227342.208004,3421,-1.2828830480575562
1524227484.744336,3501,-1.4556058645248413
1524227520.380062,3521,-1.7477693557739258
1524227876.926931,3721,-1.7149763107299805
1524227984.177239,3781,-1.4918546676635742
1524228162.596781,3881,-1.9259268045425415
1524228198.397418,3901,-1.6945561170578003
1524228948.395289,4321,-1.5688058137893677
1524229091.437237,4401,-1.68996000289917
1524229127.274415,4421,-1.7394624948501587
1524229234.288104,4481,-1.4397300481796265
1524229269.819957,4501,-1.5309195518493652
1524229448.7819,4601,-1.702958345413208
1524229662.762115,4721,-1.6406912803649902
1524229698.481907,4741,-1.4534988403320312
1524229734.246253,4761,-1.6416611671447754
1524230091.486785,4961,-2.1363208293914795
1524230705.06587,5301,-1.4842839241027832
1524231097.817563,5521,-1.5841705799102783
1524231705.400645,5861,-1.862825870513916
1524231883.886338,5961,-1.9816409349441528
1524231991.249842,6021,-1.626630425453186
1524232062.43553,6061,-1.9036983251571655
1524232491.625115,6301,-1.674053430557251
1524232992.904467,6581,-1.7643041610717773
1524233100.207188,6641,-1.9292813539505005
1524233457.716386,6841,-1.5025207996368408
1524233600.478662,6921,-2.419006586074829
1524233707.704511,6981,-1.7728774547576904
1524234029.361929,7161,-1.6613588333129883
1524234136.781521,7221,-2.049952507019043
1524234351.193254,7341,-1.9253761768341064
1524234386.996928,7361,-2.126593828201294
1524234422.751862,7381,-1.7566360235214233
1524234530.172817,7441,-2.0200247764587402
1524234672.970222,7521,-1.5645921230316162
1524234851.351755,7621,-1.8123772144317627
1524234994.03818,7701,-1.8680015802383423
1524235029.654581,7721,-1.820263385772705
1524235457.811896,7961,-2.0238754749298096
1524235636.583205,8061,-2.3323678970336914
1524235886.854983,8201,-1.719444990158081
1524235958.507315,8241,-2.0981333255767822
1524236458.611377,8521,-2.3603298664093018
1524236672.727122,8641,-2.2304487228393555
1524236780.067763,8701,-1.7233673334121704
1524236923.09231,8781,-1.7618694305419922
1524237208.757645,8941,-1.9290632009506226
1524237530.94766,9121,-1.8277463912963867
1524238898.558836,9881,-2.2823240756988525
1524239369.617079,10141,-1.723482608795166
1524239584.10043,10261,-1.9466133117675781
1524239619.843387,10281,-2.0511858463287354
1524239655.49647,10301,-1.9316270351409912
1524239763.156773,10361,-1.887526035308838
1524239977.78308,10481,-1.820128083229065
1524240013.369492,10501,-2.2649648189544678
1524240263.602817,10641,-1.7746608257293701
1524240549.121652,10801,-1.7777841091156006
1524240941.672834,11021,-2.1034765243530273
1524240977.560687,11041,-1.8398125171661377
1524241013.227088,11061,-2.0010616779327393
1524241049.082508,11081,-1.9177794456481934
1524241405.896381,11281,-2.3432140350341797
1524241692.330026,11441,-2.302887439727783
1524241763.887454,11481,-2.019097328186035
1524241871.368374,11541,-2.1684045791625977
1524241907.119015,11561,-1.7940974235534668
1524242014.398606,11621,-2.3072104454040527
1524242228.284085,11741,-2.2282567024230957
1524242299.330429,11781,-1.7850499153137207
1524242442.225469,11861,-1.7775315046310425
1524242800.127866,12061,-2.082149028778076
1524242907.415255,12121,-2.0969793796539307
1524243121.587574,12241,-1.899008870124817
1524243228.367262,12301,-2.1281421184539795
1524243728.258431,12581,-2.1682116985321045
1524244049.240045,12761,-2.16748309135437
1524244263.456318,12881,-1.901929497718811
1524244478.109959,13001,-1.8999768495559692
1524244549.590555,13041,-2.0126235485076904
1524244764.127725,13161,-2.0251781940460205
1524244835.50666,13201,-2.038140296936035
1524244871.273297,13221,-2.078603506088257
1524244978.757889,13281,-1.8601032495498657
1524245157.356242,13381,-2.2499890327453613
1524245264.737301,13441,-2.353788375854492
1524245550.698979,13601,-2.006718158721924
1524245907.99571,13801,-2.0813558101654053
1524245980.013859,13841,-2.2006356716156006
1524246158.83109,13941,-1.9334434270858765
1524246301.669242,14021,-2.018383264541626
1524246552.08081,14161,-1.976988434791565
1524247803.356988,14861,-2.132364511489868
1524247910.795328,14921,-2.0283243656158447
1524248132.025595,15041,-2.024447441101074
1524248310.470381,15141,-2.0399019718170166
1524248382.15814,15181,-1.9311753511428833
1524248453.66054,15221,-2.263218402862549
1524248525.102949,15261,-1.9967907667160034
1524248739.528346,15381,-1.9431346654891968
1524248883.260687,15461,-2.080754518508911
1524249491.344491,15801,-2.0595414638519287
1524249527.289997,15821,-2.005837917327881
1524249634.811969,15881,-2.0006725788116455
1524249813.542401,15981,-2.4305644035339355
1524249849.442415,16001,-2.460247039794922
1524250206.893189,16201,-2.286278486251831
1524250385.982184,16301,-2.0113534927368164
1524250421.666335,16321,-2.391064167022705
1524250564.821765,16401,-2.056777238845825
1524250636.222227,16441,-2.2396962642669678
1524250815.282989,16541,-2.1372289657592773
1524250886.696292,16581,-2.373594284057617
1524250994.018477,16641,-2.3483972549438477
1524251351.667675,16841,-2.124171495437622
1524251637.521185,17001,-2.257183074951172
1524251674.291716,17021,-2.2388267517089844
1524251863.597594,17121,-2.274658679962158
1524252052.220898,17221,-2.4388344287872314
1524252278.097267,17341,-2.799746513366699
1524252315.672145,17361,-2.2489588260650635
1524252466.482525,17441,-2.2001490592956543
1524252655.237321,17541,-2.1040520668029785
1524252918.424322,17681,-2.143476724624634
1524252955.798712,17701,-2.3070425987243652
1524253030.866998,17741,-2.1368277072906494
1524253105.999378,17781,-2.1249468326568604
1524253595.920592,18041,-2.2641141414642334
1524253633.206841,18061,-2.6505231857299805
1524253708.970947,18101,-2.3000693321228027
1524254047.460123,18281,-2.3517932891845703
1524254687.892574,18621,-2.579596996307373
1524254725.472527,18641,-2.1002585887908936
1524254838.368155,18701,-2.5761125087738037
1524255064.273751,18821,-1.8837521076202393
1524255139.730759,18861,-2.053330421447754
1524256346.063318,19501,-2.0806949138641357
1524256458.667167,19561,-2.1894419193267822
1524256984.98036,19841,-2.2504677772521973
1524257135.581687,19921,-2.454916477203369
1524257556.700297,20141,-2.181898593902588
1524257631.488001,20181,-2.4002935886383057
1524257744.54732,20241,-2.3006184101104736
1524258272.065332,20521,-2.834930658340454
1524258724.032313,20761,-2.3378214836120605
1524258874.637655,20841,-2.2825028896331787
1524258949.737813,20881,-1.9591442346572876
1524259062.467397,20941,-2.2673747539520264
1524259401.209645,21121,-1.996037244796753
1524259438.822408,21141,-2.043778896331787
1524259514.597465,21181,-2.011497974395752
1524259740.847651,21301,-2.14452862739563
1524259778.191294,21321,-2.1295719146728516
1524260004.185521,21441,-2.0821549892425537
1524260154.617122,21521,-2.3219306468963623
1524260530.364968,21721,-1.9097764492034912
1524260717.752873,21821,-2.2446694374084473
1524262261.08976,22641,-2.4596328735351562
1524262336.673202,22681,-2.0653669834136963
1524262824.875071,22941,-2.30357027053833
1524263012.57307,23041,-2.0860390663146973
1524263050.100681,23061,-2.1338307857513428
1524263125.305383,23101,-2.2356560230255127
1524263200.82985,23141,-2.2912919521331787
1524263501.84295,23301,-2.2143819332122803
1524263652.176514,23381,-2.4246864318847656
1524263689.749064,23401,-2.108731985092163
1524263915.643479,23521,-2.490887403488159
1524264255.086661,23701,-2.2161524295806885
1524264631.994706,23901,-2.2279491424560547
1524264894.711126,24041,-2.1944310665130615
1524265234.183012,24221,-2.315014600753784
1524265422.695629,24321,-2.3106987476348877
1524265648.925876,24441,-2.563908576965332
1524266099.402918,24681,-1.9825431108474731
1524266325.301092,24801,-2.3400766849517822
1524266400.216695,24841,-2.4250659942626953
1524266475.265692,24881,-2.4245567321777344
1524266626.286332,24961,-2.7287137508392334
1524266701.776581,25001,-2.520278215408325
1524266746.675036,25021,-2.234785318374634
1524266935.677501,25121,-2.253631114959717
1524267199.131052,25261,-2.3428127765655518
1524267349.701897,25341,-2.49971866607666
1524267462.647506,25401,-2.3758983612060547
1524267575.195161,25461,-2.462247848510742
1524267725.80813,25541,-2.492858648300171
1524267838.193075,25601,-2.3886122703552246
1524268139.344196,25761,-2.316531181335449
1524268703.550701,26061,-2.253403902053833
1524268891.968649,26161,-2.458221197128296
1524268967.525476,26201,-2.3311684131622314
1524269118.289078,26281,-3.133439064025879
1524269155.769153,26301,-2.2779898643493652
1524269645.313516,26561,-2.510115385055542
1524269795.908024,26641,-2.324091672897339
1524269833.552157,26661,-2.118119239807129
1524270210.074504,26861,-2.2126457691192627
1524270623.969363,27081,-2.4149937629699707
1524271489.676712,27541,-2.186828374862671
1524272468.127971,28061,-2.324537515640259
1524272844.793925,28261,-2.325439929962158
1524272882.220756,28281,-2.7493903636932373
1524272919.614904,28301,-2.778657913208008
1524273032.795713,28361,-2.134103775024414
1524273108.028131,28401,-2.42604923248291
1524273220.495248,28461,-2.61106014251709
1524273258.218361,28481,-2.8254384994506836
1524273333.655641,28521,-2.3210582733154297
1524274123.612516,28941,-2.233433723449707
1524274574.022512,29181,-2.378800630569458
1524274725.060078,29261,-2.4313693046569824
1524275026.120499,29421,-2.458159923553467
1524275328.081442,29581,-2.22463059425354
1524275365.701994,29601,-2.1529321670532227
1524275403.362067,29621,-2.620565891265869
1524275629.559921,29741,-2.36480975151062
1524275780.226888,29821,-2.37516188621521
1524275855.496505,29861,-2.770066738128662
1524276578.77497,30241,-2.546417713165283
1524276918.108528,30421,-2.246628761291504
1524277294.20304,30621,-2.2836251258850098
1524277708.055356,30841,-2.1382672786712646
1524277783.558534,30881,-2.505237102508545
1524277821.26169,30901,-2.4197938442230225
1524277859.033078,30921,-2.455946445465088
1524278009.569361,31001,-2.8614656925201416
1524278987.502887,31521,-2.247267484664917
1524279062.813057,31561,-2.645890235900879
1524279100.439031,31581,-2.5874595642089844
1524279326.293429,31701,-2.338552713394165
1524279815.890749,31961,-2.24448823928833
1524279966.471705,32041,-2.580660343170166
1524280568.122864,32361,-2.0388753414154053
1524280643.344079,32401,-2.0963077545166016
1524280680.849243,32421,-2.46743106842041
1524280755.887007,32461,-2.488318920135498
1524280793.788304,32481,-2.590696334838867
1524280906.685067,32541,-2.315316915512085
1524280981.574062,32581,-2.4526305198669434
1524281094.893162,32641,-2.694425106048584
1524281132.441378,32661,-2.486065149307251
1524281471.916621,32841,-3.262162208557129
1524281547.373929,32881,-2.504948377609253
1524281697.730993,32961,-2.590433359146118
1524281735.470787,32981,-2.665919780731201
1524281890.385038,33061,-2.184696674346924
1524282046.105644,33141,-2.6668126583099365
1524282083.929764,33161,-2.2999610900878906
1524282277.742573,33261,-2.333153247833252
1524282818.046205,33541,-2.3788371086120605
1524283741.310925,34021,-2.5589492321014404
1524284506.134365,34421,-2.479067802429199
1524285224.591936,34801,-2.456700563430786
1524285338.20107,34861,-2.6577911376953125
1524285646.953747,35021,-2.4003963470458984
1524285911.074421,35161,-2.491654872894287
1524286289.002414,35361,-2.210275411605835
1524286553.061644,35501,-2.1138181686401367
1524286704.603242,35581,-2.903186321258545
1524286855.948051,35661,-2.447880744934082
1524286893.866909,35681,-2.3872733116149902
1524286969.328273,35721,-2.6694729328155518
1524287082.539063,35781,-2.135403871536255
1524287158.397888,35821,-2.1472725868225098
1524287497.668341,36001,-2.424299716949463
1524287649.121937,36081,-2.335987091064453
1524287950.50781,36241,-2.7771003246307373
1524288063.556238,36301,-2.2724947929382324
1524288139.059111,36341,-2.348273992538452
1524288176.598137,36361,-2.3651230335235596
1524288290.146104,36421,-2.750835418701172
1524288440.805364,36501,-2.6057212352752686
1524288933.087798,36761,-2.3766539096832275
1524289423.019733,37021,-2.624876022338867
1524289498.433273,37061,-2.466562509536743
1524289989.295551,37321,-2.887007236480713
1524290027.076174,37341,-2.358682155609131
1524290215.825759,37441,-2.1838388442993164
1524290405.391326,37541,-2.976567268371582
1524290821.171716,37761,-2.4448916912078857
1524290972.222628,37841,-2.507939100265503
1524291311.575292,38021,-2.3537468910217285
1524291349.211022,38041,-2.2641663551330566
1524291424.359694,38081,-2.505544424057007
1524291499.910087,38121,-2.231849193572998
1524291613.304434,38181,-2.25068998336792
1524292066.29574,38421,-2.2167863845825195
1524292254.832991,38521,-2.415896415710449
1524292556.652582,38681,-2.372570276260376
1524292707.914817,38761,-2.2545392513275146
1524292934.531816,38881,-2.117323160171509
1524293198.512438,39021,-2.465336799621582
1524293386.98201,39121,-2.312474012374878
1524293651.255276,39261,-2.3181357383728027
1524293726.470341,39301,-2.3365631103515625
1524293991.393122,39441,-2.420593500137329
1524294331.778398,39621,-2.6400880813598633
1524294557.754251,39741,-2.2877280712127686
1524294633.162342,39781,-2.3486223220825195
1524294822.228335,39881,-2.9390170574188232
1524294859.953637,39901,-2.4600441455841064
1524295471.832358,40221,-2.289748191833496
1524295699.609303,40341,-2.950953483581543
1524296040.258841,40521,-2.311642646789551
1524296644.305371,40841,-2.407471179962158
1524297022.462608,41041,-2.380692720413208
1524297136.020779,41101,-2.4957361221313477
1524297437.346038,41261,-2.622797727584839
1524297966.981053,41541,-3.3680992126464844
1524298192.310621,41661,-2.841817855834961
1524298343.732892,41741,-2.869702100753784
1524298494.112918,41821,-2.429550886154175
1524298607.474058,41881,-2.6178622245788574
1524298682.532846,41921,-2.2640979290008545
1524299210.552263,42201,-2.4429097175598145
1524299286.825121,42241,-2.5847535133361816
1524300041.689955,42641,-2.3693487644195557
1524300192.331163,42721,-2.6292083263397217
1524300419.306448,42841,-2.5616440773010254
1524300645.578363,42961,-2.4107415676116943
1524300758.890591,43021,-2.496636390686035
1524301362.443989,43341,-2.7366132736206055
1524301438.351424,43381,-2.918576240539551
1524301702.09997,43521,-2.936842679977417
1524301740.087287,43541,-2.4336280822753906
1524301891.228216,43621,-2.289496421813965
1524301966.590871,43661,-2.5666282176971436
1524302268.796864,43821,-2.765617847442627
1524302306.666961,43841,-2.5886876583099365
1524302381.993776,43881,-2.3000738620758057
1524302457.486455,43921,-2.5530953407287598
1524302495.082313,43941,-2.1961255073547363
1524302873.486012,44141,-2.8898978233337402
1524303214.014794,44321,-2.5793137550354004
1524303478.290143,44461,-2.216862201690674
1524303628.78891,44541,-2.168921947479248
1524303779.740296,44621,-2.6122288703918457
1524304459.320086,44981,-2.3486270904541016
1524304806.172662,45161,-2.3071584701538086
1524305221.62731,45381,-2.3366432189941406
1524305259.183424,45401,-2.7736167907714844
1524305372.816995,45461,-2.639678478240967
1524305410.603741,45481,-2.500175714492798
1524305523.566417,45541,-2.4893088340759277
1524305637.056668,45601,-2.2641096115112305
1524305674.68417,45621,-2.459845542907715
1524306089.832318,45841,-2.6590354442596436
1524306165.256431,45881,-3.021895170211792
1524306694.033365,46161,-2.221113681793213
1524306731.65426,46181,-2.528709650039673
1524306882.783184,46261,-2.4896399974823
1524306996.359155,46321,-2.4628043174743652
1524307335.44027,46501,-2.2340736389160156
1524307826.326929,46761,-2.8875045776367188
1524308090.523564,46901,-2.455688238143921
1524308656.885111,47201,-2.9517834186553955
1524308732.081078,47241,-2.5017006397247314
1524310168.173597,48001,-2.908982515335083
1524310846.800183,48361,-2.338383436203003
1524310884.47984,48381,-2.2142536640167236
1524311338.36126,48621,-2.1045591831207275
1524311527.345594,48721,-2.272024631500244
1524311754.262723,48841,-2.631978988647461
1524311792.007189,48861,-2.29683780670166
1524312245.873075,49101,-2.6110260486602783
1524312735.922467,49361,-2.8439836502075195
1524312773.675843,49381,-2.2687911987304688
1524312849.172387,49421,-2.606914520263672
1524313037.964226,49521,-2.6859354972839355
1524313075.459823,49541,-3.0931649208068848
1524313150.845908,49581,-2.308424949645996
1524313528.710123,49781,-2.7210633754730225
1524314249.816629,50161,-2.815319538116455
1524314287.522161,50181,-2.5454745292663574
