Wall time,Step,Value
1524251950.282189,121,0.21539640426635742
1524252089.067369,181,-0.10182904452085495
1524252505.740102,361,-0.29313555359840393
1524252689.194507,441,-0.4325551986694336
1524252826.819186,501,-0.30843132734298706
1524253055.934879,601,-0.4587770998477936
1524253465.359356,781,-0.36369356513023376
1524254285.173972,1141,-0.6936683058738708
1524254330.732329,1161,-0.5162774324417114
1524254421.257926,1201,-0.7907037138938904
1524254920.728878,1421,-0.572108268737793
1524255466.747757,1661,-0.7885661125183105
1524255512.301332,1681,-0.8548952341079712
1524255693.952562,1761,-0.7517798542976379
1524255830.605348,1821,-0.7144672870635986
1524255876.271807,1841,-0.8566451668739319
1524256514.014688,2121,-0.7461017966270447
1524256605.171348,2161,-0.9270871877670288
1524257469.298958,2541,-0.8229740858078003
1524257605.799699,2601,-0.792932391166687
1524257742.317399,2661,-0.8761935234069824
1524257788.083078,2681,-0.8552111387252808
1524258197.972416,2861,-1.3915362358093262
1524259472.467874,3421,-0.9690520763397217
1524259654.644911,3501,-0.8473373651504517
1524259700.686047,3521,-1.0046961307525635
1524260155.447537,3721,-1.0826847553253174
1524260292.247813,3781,-1.0869767665863037
1524260519.854177,3881,-1.105808138847351
1524260565.16753,3901,-1.0192358493804932
1524261519.232586,4321,-0.9427722096443176
1524261701.189797,4401,-1.1929696798324585
1524261746.448414,4421,-1.3232853412628174
1524261883.009529,4481,-0.8617451786994934
1524261928.316444,4501,-1.1859376430511475
1524262155.792905,4601,-1.0813342332839966
1524262428.296087,4721,-1.201169729232788
1524262473.713933,4741,-1.1829833984375
1524262519.041725,4761,-1.0818296670913696
1524262973.611672,4961,-1.0405120849609375
1524263755.907734,5301,-1.4923135042190552
1524264255.889862,5521,-1.1429466009140015
1524265029.638336,5861,-1.162079930305481
1524265257.398551,5961,-1.2459567785263062
1524265393.783508,6021,-1.0971488952636719
1524265484.971,6061,-1.1009174585342407
1524266029.805816,6301,-1.4111515283584595
1524266665.793899,6581,-1.414521336555481
1524266802.239376,6641,-1.3508920669555664
1524267256.72328,6841,-1.4431672096252441
1524267438.869884,6921,-1.2067476511001587
1524267574.990291,6981,-1.2063450813293457
1524267983.994372,7161,-1.3997184038162231
1524268120.406823,7221,-1.4257698059082031
1524268393.454288,7341,-1.2272157669067383
1524268438.927747,7361,-1.3109660148620605
1524268484.876583,7381,-1.4179668426513672
1524268621.20839,7441,-1.5348219871520996
1524268803.765329,7521,-1.6660388708114624
1524269031.827681,7621,-1.6325095891952515
1524269213.799742,7701,-1.3077244758605957
1524269259.675649,7721,-1.4862136840820312
1524269805.516358,7961,-1.4131852388381958
1524270032.824382,8061,-1.4461944103240967
1524270350.806168,8201,-1.4321080446243286
1524270441.650443,8241,-1.2130117416381836
1524271078.688251,8521,-1.251700758934021
1524271351.619585,8641,-1.5349833965301514
1524271487.988839,8701,-1.4963526725769043
1524271669.766055,8781,-1.5821136236190796
1524272033.493043,8941,-1.394350528717041
1524272442.68685,9121,-1.4075196981430054
1524274170.165055,9881,-1.4503204822540283
1524274769.874974,10141,-1.5737757682800293
1524275042.655182,10261,-1.578866720199585
1524275088.185688,10281,-1.3867396116256714
1524275133.530289,10301,-1.439584493637085
1524275269.644939,10361,-1.2512439489364624
1524275542.34013,10481,-1.2740646600723267
1524275587.679195,10501,-1.3576908111572266
1524275906.365253,10641,-1.567876935005188
1524276270.031992,10801,-1.1741456985473633
1524276769.867746,11021,-1.3862768411636353
1524276815.164146,11041,-1.4817640781402588
