Wall time,Step,Value
1524251950.28224,121,0.1966470181941986
1524252089.067431,181,-0.12507398426532745
1524252505.740147,361,-0.322365939617157
1524252689.194542,441,-0.4651273787021637
1524252826.819231,501,-0.342995822429657
1524253055.934928,601,-0.5014626979827881
1524253465.359397,781,-0.4118708372116089
1524254285.174016,1141,-0.7550420165061951
1524254330.732371,1161,-0.5772854089736938
1524254421.257968,1201,-0.8534197211265564
1524254920.728918,1421,-0.644209086894989
1524255466.747805,1661,-0.8730148077011108
1524255512.301373,1681,-0.9376044273376465
1524255693.952601,1761,-0.8352815508842468
1524255830.605396,1821,-0.802117109298706
1524255876.271841,1841,-0.9506276249885559
1524256514.014729,2121,-0.8437346816062927
1524256605.171394,2161,-1.0290411710739136
1524257469.298991,2541,-0.9298792481422424
1524257605.799748,2601,-0.8973958492279053
1524257742.31743,2661,-0.9853238463401794
1524257788.083116,2681,-0.9606828689575195
1524258197.972457,2861,-1.5059881210327148
1524259472.467905,3421,-1.0841772556304932
1524259654.64496,3501,-0.9577688574790955
1524259700.686088,3521,-1.1245315074920654
1524260155.447582,3721,-1.2127982378005981
1524260292.247846,3781,-1.2158398628234863
1524260519.854227,3881,-1.2307982444763184
1524260565.167565,3901,-1.1423959732055664
1524261519.232633,4321,-1.066887617111206
1524261701.189845,4401,-1.3270103931427002
1524261746.448462,4421,-1.4548618793487549
1524261883.009578,4481,-0.9808404445648193
1524261928.316496,4501,-1.3196499347686768
1524262155.792961,4601,-1.2142502069473267
1524262428.296136,4721,-1.334543228149414
1524262473.713981,4741,-1.3222370147705078
1524262519.041775,4761,-1.2085620164871216
1524262973.611704,4961,-1.1682873964309692
1524263755.907786,5301,-1.6332190036773682
1524264255.889904,5521,-1.2718005180358887
1524265029.638383,5861,-1.2987148761749268
1524265257.398595,5961,-1.386141300201416
1524265393.783548,6021,-1.2338533401489258
1524265484.971034,6061,-1.2306945323944092
1524266029.805866,6301,-1.5519728660583496
1524266665.793942,6581,-1.5569407939910889
1524266802.239407,6641,-1.4965178966522217
1524267256.723317,6841,-1.5815563201904297
1524267438.869924,6921,-1.3466609716415405
1524267574.990334,6981,-1.3446943759918213
1524267983.99441,7161,-1.5471330881118774
1524268120.406857,7221,-1.570811152458191
1524268393.454325,7341,-1.3610901832580566
1524268438.927779,7361,-1.4507126808166504
1524268484.876631,7381,-1.5590505599975586
1524268621.208431,7441,-1.6834455728530884
1524268803.765381,7521,-1.8130861520767212
1524269031.827714,7621,-1.7860267162322998
1524269213.799778,7701,-1.4507843255996704
1524269259.675694,7721,-1.6444036960601807
1524269805.51641,7961,-1.558797836303711
1524270032.824434,8061,-1.594313621520996
1524270350.806199,8201,-1.5725722312927246
1524270441.650489,8241,-1.355069637298584
1524271078.688282,8521,-1.3890196084976196
1524271351.619636,8641,-1.6857860088348389
1524271487.988877,8701,-1.6512126922607422
1524271669.766086,8781,-1.730539083480835
1524272033.49308,8941,-1.5505558252334595
1524272442.686895,9121,-1.5570108890533447
1524274170.165101,9881,-1.5969123840332031
1524274769.875014,10141,-1.728024959564209
1524275042.655234,10261,-1.7322602272033691
1524275088.185728,10281,-1.5357223749160767
1524275133.530336,10301,-1.5974245071411133
1524275269.645001,10361,-1.3950731754302979
1524275542.34016,10481,-1.4250543117523193
1524275587.679236,10501,-1.5077450275421143
1524275906.365284,10641,-1.725099802017212
1524276270.03204,10801,-1.3181755542755127
1524276769.867789,11021,-1.5403964519500732
1524276815.164195,11041,-1.63356351852417
1524276860.576159,11061,-1.4724050760269165
1524276906.126585,11081,-1.598677158355713
1524277360.643309,11281,-1.5589982271194458
1524277723.875842,11441,-1.483685851097107
1524277814.780281,11481,-1.6519595384597778
1524277951.408203,11541,-1.7478108406066895
1524277996.957578,11561,-2.0206286907196045
1524278133.365086,11621,-1.533877968788147
1524278405.827836,11741,-2.1531472206115723
1524278497.192103,11781,-1.6339454650878906
1524278678.915198,11861,-1.6140646934509277
1524279133.372264,12061,-1.8030236959457397
