Wall time,Step,Value
1524223832.228089,1201,-0.6379188895225525
1524227488.800127,2861,-1.1817915439605713
1524231673.168879,4761,-1.449782133102417
1524238962.635438,8061,-1.559820532798767
1524245581.784935,11061,-1.5839606523513794
1524250342.685587,13221,-1.5315784215927124
1524254080.459584,14861,-1.929098129272461
1524259062.117639,17001,-1.9624191522598267
1524261476.295717,18041,-1.6621872186660767
1524267981.292547,20841,-2.17283296585083
1524272243.14604,22681,-2.0962023735046387
1524277523.165586,24961,-1.859799861907959
1524283540.376644,27541,-1.7229695320129395
1524294840.894732,32401,-2.2143216133117676
1524298603.015718,34021,-1.9385234117507935
1524302421.680177,35661,-2.0206081867218018
1524303908.180823,36301,-2.2810802459716797
1524309620.164397,38761,-1.8035658597946167
1524317710.363735,42241,-2.2775588035583496
1524331977.865255,48361,-2.102241039276123
1524337937.283117,50921,-2.1152005195617676
1524340440.392626,52001,-2.0118706226348877
1524346937.900705,54801,-2.054990291595459
1524353300.139204,57541,-2.622044801712036
1524361465.583864,61061,-1.9770987033843994
1524371772.283381,65501,-1.9379725456237793
1524373814.860169,66381,-2.373128652572632
1524379103.216191,68661,-2.2730607986450195
1524387417.691519,72241,-2.319448471069336
1524393552.247327,74881,-2.258615493774414
1524394762.78182,75401,-2.2563207149505615
1524399315.536519,77361,-2.5026495456695557
1524410619.654446,82221,-2.1781113147735596
1524416898.405462,84921,-2.340303897857666
1524426245.040564,88941,-2.099040985107422
1524431914.584158,91381,-1.9065747261047363
1524437580.862942,93821,-2.2504420280456543
1524441904.194712,95681,-2.1573872566223145
1524452629.430811,100301,-1.9989807605743408
1524454626.538512,101161,-2.1090378761291504
1524457480.16984,102401,-1.892554521560669
1524461116.777277,104041,-2.253567695617676
1524469437.084384,107801,-2.0587236881256104
1524474120.815638,109921,-2.554090976715088
1524476422.978208,110961,-2.475414991378784
1524478811.695937,112041,-2.386657238006592
1524486423.303046,115481,-2.4137585163116455
1524493686.425864,118761,-2.165492057800293
1524501822.752398,122441,-1.8761069774627686
1524505538.524519,124121,-2.1346380710601807
1524510807.224042,126501,-1.9756394624710083
1524518685.318586,130061,-2.019300937652588
1524530456.574386,135381,-2.3428943157196045
1524538984.687989,139241,-2.185098886489868
1524541597.543731,140381,-2.357408285140991
1524544645.695481,141701,-2.005488395690918
1524549210.346358,143681,-2.116243600845337
1524551469.076388,144661,-2.00773286819458
1524557968.870716,147481,-2.5172412395477295
1524567276.669389,151521,-2.337247133255005
1524571449.615966,153321,-2.076183319091797
1524583484.841438,158541,-2.0688021183013916
1524594603.667341,163361,-2.3599624633789062
1524602626.283884,166841,-2.317580223083496
1524604330.811644,167581,-2.595168113708496
1524606266.143444,168421,-2.192962408065796
1524613640.679886,171621,-2.567572593688965
1524615391.605487,172381,-2.148209571838379
1524621378.99149,174981,-2.145850419998169
1524627107.939578,177461,-2.3796184062957764
1524630307.033553,178821,-2.6102471351623535
1524640226.914693,183001,-2.577993392944336
1524646597.541042,185741,-2.005791425704956
1524657611.764467,190521,-2.280240058898926
1524663252.120427,192961,-2.361701726913452
1524668461.718828,195221,-2.3053886890411377
1524671974.948087,196721,-2.37044620513916
1524676817.732621,198761,-2.708707809448242
1524683234.380721,201461,-2.459075927734375
1524687126.396239,203101,-2.3997561931610107
1524691209.257911,204821,-2.144092082977295
1524697671.642783,207541,-2.719679117202759
1524705215.610983,210721,-2.3810951709747314
1524706688.08301,211341,-2.040221929550171
1524712725.705505,213881,-2.512608766555786
1524719718.020416,216821,-2.0390241146087646
1524722546.713658,218021,-1.8187366724014282
1524726374.981113,219681,-2.7232418060302734
1524728131.491593,220441,-2.384681224822998
1524730439.702782,221441,-2.663012981414795
1524735747.097392,223741,-2.2498490810394287
1524738708.794086,225021,-2.310349702835083
1524745539.924491,227981,-2.1297693252563477
1524754698.868521,231941,-2.3053722381591797
1524755934.712028,232461,-2.2720446586608887
1524764739.364693,236161,-2.368108034133911
1524770978.008186,238781,-2.4678871631622314
1524778742.304806,242041,-2.365946054458618
1524786497.446501,245301,-2.4412593841552734
1524788445.794114,246121,-2.955273389816284
1524796858.569133,249661,-2.8569676876068115
1524802318.778746,251961,-2.3214826583862305
1524803553.785157,252481,-2.781459093093872
1524806973.525011,253921,-2.3283424377441406
1524813668.977885,256821,-2.8076705932617188
1524816577.968643,258081,-2.354466199874878
1524822624.125097,260701,-2.113610029220581
1524826271.163982,262281,-2.4277613162994385
1524829268.963146,263581,-2.4886584281921387
1524835267.753425,266181,-2.301412343978882
1524840386.091288,268401,-2.1034891605377197
1524848625.608763,271941,-2.4180753231048584
1524854963.461715,274621,-1.9818295240402222
1524857455.564888,275701,-2.574439287185669
1524863359.089316,278261,-3.1347997188568115
1524874381.60689,283041,-2.317856788635254
1524880115.086862,285461,-2.3403825759887695
1524885517.607864,287781,-2.249027729034424
1524890096.821313,289721,-2.363344669342041
1524892994.390433,290941,-2.726808547973633
1524897236.301044,292721,-2.247288703918457
1524900201.062339,294001,-2.2863965034484863
1524905692.223261,296381,-2.8546512126922607
1524910994.642756,298681,-2.326748847961426
1524918745.284391,302041,-2.1548948287963867
1524921786.871653,303361,-2.593306541442871
1524922571.406595,303701,-2.705796241760254
1524926125.614536,305241,-2.5004045963287354
1524930504.532319,307141,-2.632418394088745
1524936081.126915,309561,-2.340594530105591
1524938758.142503,310721,-2.1652841567993164
1524940787.951253,311601,-2.3730461597442627
1524943876.223012,312941,-2.4718399047851562
1524948484.788285,314941,-3.1989786624908447
1524952358.322626,316621,-2.1735286712646484
1524957795.278154,318981,-2.170144557952881
1524964659.023724,321961,-2.7713398933410645
1524969681.293032,324141,-2.1382064819335938
1524974157.408148,326081,-2.5906224250793457
1524980194.492598,328701,-2.2275116443634033
1524983515.382483,330141,-1.939113974571228
1524989598.613071,332781,-2.413478374481201
1524999840.254452,337221,-1.9299042224884033
1525003621.820514,338861,-2.2415504455566406
1525009574.372746,341441,-2.243645191192627
1525018197.989785,345181,-2.151226282119751
1525023083.583767,347301,-2.084460735321045
1525024970.924077,348121,-2.159017562866211
1525027645.851647,349281,-2.3083274364471436
1525032258.099058,351281,-2.316249370574951
1525037651.089078,353621,-2.143709421157837
1525041896.677097,355461,-2.6158034801483154
1525049501.820435,358761,-2.4845120906829834
1525055496.617936,361361,-2.5603668689727783
1525060706.603861,363621,-2.681391477584839
1525069190.985919,367301,-2.391400098800659
1525078362.625296,371281,-2.3389220237731934
1525080988.864327,372421,-2.9273853302001953
1525083108.25436,373341,-2.220609188079834
1525098231.584716,379901,-2.152942419052124
1525101320.792979,381241,-2.59633207321167
1525105560.087002,383081,-2.8266334533691406
1525117404.843517,388221,-2.1808626651763916
1525122049.915311,390161,-2.5514678955078125
1525125487.245953,391601,-2.61429762840271
1525132307.492183,394561,-2.058779716491699
1525136672.077666,396401,-2.299696922302246
1525140513.52478,398001,-2.147552728652954
1525154922.650045,404001,-2.536170482635498
1525159486.240022,405901,-2.3543643951416016
1525165730.712036,408501,-2.638735771179199
1525169379.207922,410021,-2.1371266841888428
1525177495.422059,413401,-2.1516621112823486
1525179223.741312,414121,-2.3501474857330322
1525193291.331335,420181,-2.055518627166748
1525198811.008347,422501,-2.6705963611602783
1525203672.747143,424581,-2.1188805103302
1525212479.173663,428401,-1.9213471412658691
1525220180.417235,431741,-2.522348642349243
1525223500.742235,433181,-2.3604259490966797
1525226680.39084,434561,-2.0165581703186035
1525231659.153903,436721,-2.9087657928466797
1525234470.587231,437941,-3.278737783432007
1525239404.376516,440081,-2.251735210418701
1525245119.74857,442561,-2.60746169090271
1525254200.929267,446501,-2.3817434310913086
1525258443.494112,448341,-2.2968711853027344
1525263562.469369,450561,-2.601715564727783
1525265314.075596,451321,-2.1042981147766113
1525271997.876623,454221,-2.1014323234558105
1525276800.257717,456301,-2.369807481765747
1525283535.209691,459221,-2.830414056777954
1525287184.160352,460801,-2.1697897911071777
1525298126.682493,465541,-2.3610687255859375
1525302370.043862,467381,-2.472627639770508
1525306382.338512,469121,-2.6626553535461426
1525310116.163849,470741,-2.1311395168304443
1525316249.036588,473401,-2.497812032699585
1525320399.127005,475201,-2.3708343505859375
1525329896.089698,479321,-2.5326571464538574
1525332572.020225,480481,-2.4857752323150635
1525338008.602936,482841,-2.583913803100586
1525340451.050325,483901,-2.448683738708496
1525346257.857957,486421,-2.628796100616455
1525350451.114807,488241,-2.150799036026001
1525354831.695865,490141,-2.350348472595215
1525356170.666774,490721,-2.1760106086730957
1525364339.786557,494241,-2.5793099403381348
1525369331.245987,496321,-2.3360395431518555
1525373564.267793,498101,-2.500981569290161
1525376376.955012,499321,-2.119112491607666
1525383020.137544,502201,-2.206709861755371
1525402017.748223,510441,-2.546738862991333
1525404553.899061,511541,-2.8135366439819336
1525408891.347973,513421,-2.3013668060302734
1525421390.553312,518841,-2.2572813034057617
1525426695.109013,521141,-2.728079319000244
1525429924.542599,522541,-2.477416753768921
1525432919.953798,523841,-2.2792630195617676
1525440301.429113,527041,-2.3800644874572754
1525445417.034139,529261,-2.4333388805389404
1525448831.373765,530741,-2.0245862007141113
1525464230.780524,537421,-2.6463286876678467
1525466581.53715,538441,-2.506195306777954
1525470826.458407,540281,-2.2546918392181396
1525480046.352767,544281,-2.186807632446289
1525487796.051985,547641,-2.404200792312622
1525498586.144698,552321,-2.699537754058838
1525502828.75917,554161,-2.3015708923339844
1525510296.700572,557401,-2.384291172027588
1525514811.088733,559361,-2.5996193885803223
1525522002.09624,562481,-2.4941370487213135
1525532142.308576,566881,-2.7729082107543945
1525542188.872241,571241,-3.108008861541748
1525548594.07101,574021,-2.192899227142334
1525554339.704784,576461,-2.6040713787078857
1525562193.336733,579741,-2.541253089904785
1525568924.737625,582661,-2.238696575164795
1525578379.09993,586761,-2.583561658859253
1525584235.02261,589301,-2.1015713214874268
1525587925.761828,590901,-2.4182002544403076
1525597147.10669,594901,-2.461541175842285
1525601807.596139,596921,-2.734375
1525607849.219886,599541,-2.2877378463745117
1525612003.286914,601341,-2.184995651245117
1525617121.237305,603561,-2.479619026184082
1525621690.978201,605541,-2.4600250720977783
1525629672.323764,609001,-2.3334028720855713
1525632859.420035,610381,-2.191378593444824
1525637500.101759,612361,-2.1885669231414795
