Wall time,Step,Value
1524541047.910093,441,-0.1647453010082245
1524541164.701052,501,-0.1661185622215271
1524542403.145531,1141,-0.5295081734657288
1524542516.873815,1201,-0.6853495240211487
1524543388.984602,1661,-0.8634591102600098
1524543427.028295,1681,-0.5228026509284973
1524543692.256491,1821,-0.614146888256073
1524545667.036571,2861,-0.7455080151557922
1524546729.705625,3421,-0.9096189141273499
1524546881.613046,3501,-0.8762064576148987
1524548438.423282,4321,-0.9728864431381226
1524549272.597338,4761,-1.1002800464630127
1524550303.471217,5301,-1.142200231552124
1524551670.655743,6021,-1.0760685205459595
1524553225.06495,6841,-1.4034051895141602
1524554174.019193,7341,-1.4695864915847778
1524555539.776278,8061,-1.3854701519012451
1524557550.167706,9121,-1.152309536933899
1524559755.326851,10281,-1.501086711883545
1524561158.744107,11021,-1.67295503616333
1524561234.41921,11061,-1.7698570489883423
1524561651.395345,11281,-1.396282434463501
1524562599.311438,11781,-1.256110429763794
1524564116.688072,12581,-1.3676246404647827
1524565330.818809,13221,-1.337618112564087
1524565444.91502,13281,-1.4289522171020508
1524565634.635694,13381,-1.4410359859466553
1524566847.742834,14021,-1.514336109161377
1524568441.950915,14861,-1.630508542060852
1524568555.968355,14921,-1.372174859046936
1524571246.583036,16321,-1.4531283378601074
1524572233.807457,16841,-1.45407235622406
1524572537.054499,17001,-1.573987364768982
1524573562.790295,17541,-1.5667588710784912
1524573829.076874,17681,-1.4660558700561523
1524573942.680871,17741,-1.6484112739562988
1524574511.469317,18041,-1.4537503719329834
1524574625.319547,18101,-1.4656882286071777
1524575610.439527,18621,-1.8638683557510376
1524578577.726987,20181,-1.6988449096679688
1524579830.96819,20841,-1.7159308195114136
1524580362.400508,21121,-1.5080313682556152
1524580969.334632,21441,-1.606135606765747
1524581689.049094,21821,-1.7449778318405151
1524583319.525075,22681,-1.670004963874817
1524586240.209017,24221,-1.5344594717025757
1524586430.586345,24321,-1.7986458539962769
1524587112.994877,24681,-1.6158454418182373
1524587643.95165,24961,-1.703957200050354
