Wall time,Step,Value
1524541244.543394,441,-0.45793500542640686
1524541386.029012,501,-0.4418429732322693
1524542892.156577,1141,-0.8198875188827515
1524543031.127832,1201,-0.7457468509674072
1524544093.829174,1661,-1.0360939502716064
1524544139.995465,1681,-0.917488157749176
1524544462.924543,1821,-0.7286090850830078
1524545246.558525,2161,-1.2474777698516846
1524546860.933661,2861,-1.3306330442428589
1524548151.641625,3421,-1.5049724578857422
1524548336.136161,3501,-1.724149227142334
1524550226.051153,4321,-1.6499247550964355
1524551240.0721,4761,-1.8109806776046753
1524551700.9445,4961,-1.8819389343261719
1524552495.257538,5301,-1.6841810941696167
1524554153.836229,6021,-1.8384543657302856
1524556043.323732,6841,-2.062131404876709
1524557194.675757,7341,-1.9395188093185425
1524558852.594584,8061,-1.9393655061721802
1524561292.913472,9121,-2.343264102935791
1524563973.721812,10281,-2.116647720336914
1524565678.58882,11021,-2.474153757095337
1524565724.604443,11041,-2.122083902359009
1524565770.475374,11061,-2.990088701248169
1524566276.841808,11281,-2.1536457538604736
1524567059.385946,11621,-2.4667134284973145
1524567427.840188,11781,-2.6485042572021484
1524569272.115855,12581,-2.0559818744659424
1524570768.315561,13221,-2.5610475540161133
1524570907.544615,13281,-2.1927919387817383
1524571137.445753,13381,-2.760660409927368
1524572612.533827,14021,-2.0770020484924316
1524574548.759346,14861,-2.312577962875366
1524574687.053951,14921,-2.384056329727173
1524577923.498216,16321,-2.970576286315918
1524579122.051069,16841,-2.6150100231170654
1524579490.028535,17001,-2.625640392303467
1524579766.225062,17121,-2.101238489151001
1524580734.12413,17541,-2.6257472038269043
1524581057.44351,17681,-2.6330249309539795
1524581195.497814,17741,-2.4746272563934326
1524581886.634128,18041,-2.833726406097412
1524582025.154541,18101,-2.502415657043457
1524583223.291789,18621,-2.651817798614502
1524585251.03433,19501,-2.7388641834259033
1524586823.075224,20181,-2.6861069202423096
1524588344.883312,20841,-2.6044039726257324
1524588990.821009,21121,-2.451068639755249
1524589728.734879,21441,-2.1866049766540527
1524590604.977498,21821,-2.7906782627105713
1524592588.708035,22681,-2.6445815563201904
1524593649.892081,23141,-2.859741687774658
1524594018.889852,23301,-2.7044754028320312
1524595725.757499,24041,-2.599318265914917
1524596141.093015,24221,-2.864478349685669
1524596371.843498,24321,-2.9037082195281982
1524597201.122264,24681,-2.764591693878174
1524597846.323581,24961,-2.81134033203125
1524598542.827849,25261,-2.389163017272949
1524599326.387688,25601,-2.602381467819214
1524600615.816095,26161,-2.635302782058716
1524601538.404249,26561,-2.5787885189056396
1524603795.630495,27541,-2.6548378467559814
1524605684.787414,28361,-2.9731979370117188
1524605915.151987,28461,-2.4678103923797607
1524606052.997366,28521,-2.4370436668395996
1524608126.461668,29421,-2.873960256576538
1524608586.621344,29621,-2.6977527141571045
1524610435.671066,30421,-3.2719764709472656
1524613982.871876,31961,-2.726076602935791
1524614996.537583,32401,-2.5913748741149902
1524615135.23457,32461,-3.0015616416931152
1524616010.136292,32841,-3.018693685531616
1524616746.938928,33161,-2.695098876953125
1524618728.813497,34021,-3.239464044570923
1524619649.451001,34421,-2.5991339683532715
1524620663.283033,34861,-2.7879371643066406
1524621362.068075,35161,-2.4688096046447754
1524622513.796293,35661,-2.6035537719726562
1524622652.034035,35721,-2.4717609882354736
1524623296.381889,36001,-2.9915788173675537
1524623851.972654,36241,-2.7859601974487305
1524623991.266775,36301,-3.0804378986358643
1524626392.039485,37341,-2.9616076946258545
1524626853.081963,37541,-3.0454840660095215
1524627369.764438,37761,-2.8094887733459473
1524628124.392835,38081,-2.8490190505981445
1524629715.675696,38761,-3.099203586578369
1524630000.306794,38881,-2.786417007446289
1524630994.449606,39301,-2.604806900024414
1524631753.037504,39621,-2.8376829624176025
1524633893.387723,40521,-3.1941866874694824
1524636981.039656,41821,-2.999614953994751
1524637978.454052,42241,-3.3629918098449707
1524641967.040577,43921,-3.0864875316619873
1524646402.777416,45841,-3.1107325553894043
1524647370.191922,46261,-2.456378221511841
1524651378.722949,48001,-2.8216307163238525
1524652207.874155,48361,-2.993286609649658
1524654512.514505,49361,-2.7490274906158447
1524656365.850019,50161,-2.523451328277588
1524657196.633487,50521,-3.0217244625091553
1524658127.296824,50921,-2.9177942276000977
1524658272.231211,50981,-3.0482735633850098
1524659753.692493,51621,-2.840597152709961
1524660167.392206,51801,-3.203972816467285
1524660259.400674,51841,-2.8567962646484375
1524660397.604454,51901,-2.997201442718506
1524660627.574489,52001,-2.6673624515533447
1524661503.012467,52381,-2.8206448554992676
1524662976.993927,53021,-3.092601776123047
1524664773.955687,53801,-3.078721046447754
1524665878.914389,54281,-3.0378947257995605
1524666661.775356,54621,-2.789846658706665
1524667075.968514,54801,-2.9193129539489746
1524669667.085047,55921,-2.55076003074646
1524670464.829615,56261,-2.7920024394989014
1524670749.496403,56381,-2.951263666152954
1524671698.303924,56781,-3.0531349182128906
1524672980.558642,57321,-3.321371078491211
1524673503.636009,57541,-2.818730592727661
1524675639.548397,58441,-2.9508090019226074
1524678062.974978,59461,-2.9637274742126465
1524678252.913822,59541,-2.8759472370147705
1524680917.437676,60661,-3.294959306716919
1524681867.752784,61061,-2.794093370437622
1524682912.461975,61501,-2.8808391094207764
1524683054.977684,61561,-3.2716879844665527
1524684195.128756,62041,-3.142918348312378
1524685715.86963,62681,-2.885848045349121
1524687563.824442,63461,-3.086099147796631
1524692419.810216,65501,-3.3344850540161133
1524692514.415261,65541,-3.503972053527832
1524693606.076211,66001,-2.831155300140381
1524693653.273982,66021,-3.30782151222229
1524693843.761087,66101,-3.0978622436523438
1524694508.184284,66381,-3.5850443840026855
1524694555.589018,66401,-3.1154792308807373
1524695125.912845,66641,-2.5727639198303223
1524696691.983022,67301,-2.6163992881774902
1524697214.932211,67521,-3.4169631004333496
1524699723.001321,68581,-3.2934188842773438
1524699912.853833,68661,-3.0059804916381836
1524700720.111889,69001,-3.742173194885254
1524701194.800546,69201,-2.827054500579834
1524701811.431768,69461,-3.26499605178833
1524702759.952932,69861,-3.2802011966705322
1524702807.488387,69881,-3.0139622688293457
1524706516.047818,71441,-3.206328868865967
1524708420.258728,72241,-3.7801291942596436
1524708800.758282,72401,-3.5698556900024414
1524710939.511424,73301,-3.010042190551758
1524712127.452279,73801,-2.737042188644409
1524714507.482731,74801,-2.9493842124938965
1524714699.03101,74881,-3.0214762687683105
1524714746.465088,74901,-3.1604273319244385
1524715134.052456,75061,-2.923377513885498
1524715896.373026,75381,-3.1792638301849365
1524715943.904678,75401,-2.925389051437378
1524717084.661133,75881,-2.7550644874572754
1524718176.483882,76341,-3.2902605533599854
1524719650.194916,76961,-3.2827541828155518
1524720030.377332,77121,-2.9357686042785645
1524720363.964527,77261,-3.0315542221069336
1524720602.413538,77361,-3.1417274475097656
1524720934.944756,77501,-3.5835962295532227
1524725386.897727,79421,-3.9266021251678467
1524726724.902471,80001,-3.0970616340637207
1524727699.033737,80421,-3.2679977416992188
1524729593.74538,81241,-2.7808027267456055
1524731855.972629,82221,-2.9981751441955566
1524732409.574827,82461,-2.616816997528076
1524734255.600402,83261,-3.2546212673187256
1524734440.181308,83341,-3.095294713973999
1524736239.828352,84121,-3.165147066116333
1524736563.133662,84261,-2.941174030303955
1524738088.891762,84921,-2.670509099960327
1524739480.731662,85521,-3.2151827812194824
1524739665.145153,85601,-3.144303560256958
1524742987.925927,87041,-3.3030900955200195
1524746637.376023,88621,-3.518446683883667
1524747376.632913,88941,-3.2049953937530518
1524748437.601287,89401,-2.647892713546753
1524749452.544341,89841,-3.6830246448516846
1524750889.405911,90461,-3.040926933288574
1524753013.840331,91381,-2.856127977371216
1524755691.754131,92521,-2.792081117630005
1524756403.930812,92821,-2.9834275245666504
1524757119.568244,93121,-2.486952781677246
1524757691.095527,93361,-2.600088119506836
1524758789.608581,93821,-2.9719371795654297
1524759504.249331,94121,-3.2996881008148193
1524760790.08091,94661,-3.458266019821167
1524760979.834969,94741,-3.3034160137176514
1524762460.387725,95361,-2.8962557315826416
1524763221.220388,95681,-3.1925554275512695
1524767508.08024,97481,-3.995645046234131
1524768031.19533,97701,-3.338449001312256
1524770792.868274,98861,-2.9916276931762695
1524771937.068575,99341,-3.085763692855835
1524774234.08185,100301,-3.3803963661193848
1524774995.768961,100621,-3.0905728340148926
1524775804.17941,100961,-2.7315316200256348
1524776089.916928,101081,-3.064832925796509
1524776184.77297,101121,-3.5408425331115723
1524776279.689634,101161,-3.4224557876586914
1524776708.632082,101341,-2.758413076400757
1524777613.873781,101721,-3.220900297164917
1524778232.424647,101981,-2.7551207542419434
1524778898.929615,102261,-2.6699204444885254
1524779231.376134,102401,-3.1771152019500732
1524780517.842377,102941,-3.2257418632507324
1524780708.214982,103021,-3.1737449169158936
1524781325.643959,103281,-2.78377628326416
1524781373.258827,103301,-2.9601056575775146
1524781468.494672,103341,-2.9186770915985107
1524783134.311602,104041,-2.899783134460449
1524784845.191603,104761,-2.916172981262207
1524788846.16896,106441,-3.0159451961517334
1524790036.416994,106941,-2.874837875366211
1524792031.949231,107781,-3.5393567085266113
1524792079.859448,107801,-3.392204999923706
1524793746.199752,108501,-2.918309450149536
1524795221.427342,109121,-3.287724256515503
1524796411.511284,109621,-2.86508846282959
1524796556.115824,109681,-3.093039035797119
1524797125.912474,109921,-2.9616029262542725
1524797462.257856,110061,-3.260293960571289
1524798128.071044,110341,-3.360496997833252
1524798459.64808,110481,-3.152292490005493
1524799600.832111,110961,-3.3488593101501465
1524800268.86075,111241,-3.0360000133514404
1524800695.318841,111421,-2.9011378288269043
1524800836.657673,111481,-2.75077748298645
1524801928.44263,111941,-2.890890598297119
1524802166.05491,112041,-2.915011405944824
1524804161.048948,112881,-3.0341222286224365
1524805920.822587,113621,-3.753901958465576
1524806206.222828,113741,-2.9450011253356934
1524808949.783401,114921,-3.2089459896087646
1524809602.262455,115201,-3.1023921966552734
1524809833.23049,115301,-3.2372047901153564
1524810249.242445,115481,-3.042027235031128
1524810572.171506,115621,-3.082512378692627
1524813158.067095,116741,-2.929887533187866
1524815511.879763,117761,-2.6052327156066895
1524817821.60121,118761,-2.6901862621307373
1524824333.808932,121581,-2.977064371109009
1524824841.336695,121801,-3.1993749141693115
1524825117.797853,121921,-3.210110664367676
1524825948.89077,122281,-3.511011838912964
1524826319.043887,122441,-3.1104702949523926
1524827428.0967,122921,-3.139531135559082
1524829318.860555,123741,-3.346923828125
1524829595.53702,123861,-3.534071922302246
1524829641.67275,123881,-3.39532208442688
1524829733.887974,123921,-2.9093017578125
1524830195.626827,124121,-2.787041664123535
1524830380.701507,124201,-2.6640262603759766
1524830472.552882,124241,-2.7376654148101807
1524830703.983858,124341,-3.158782482147217
1524835691.086056,126501,-2.696394443511963
1524836059.935039,126661,-3.0352542400360107
1524836105.99846,126681,-3.1443521976470947
1524836521.162569,126861,-3.021747589111328
1524836843.956873,127001,-3.651763439178467
1524843914.059756,130061,-2.929515838623047
1524845069.059654,130561,-2.881823778152466
1524845718.561307,130841,-3.200650453567505
1524849600.280452,132481,-3.0518031120300293
1524849932.091347,132621,-2.7641234397888184
1524852444.774273,133681,-3.4980740547180176
1524854153.649477,134401,-3.467557668685913
1524856434.812643,135381,-2.7510464191436768
1524861325.783412,137501,-3.2163727283477783
1524861371.906198,137521,-2.8836147785186768
1524862939.991473,138201,-3.4738657474517822
1524865156.892428,139161,-2.5069286823272705
1524865341.339023,139241,-3.068742513656616
1524865711.318447,139401,-3.484708309173584
1524867561.210699,140201,-3.2515151500701904
1524867653.691843,140241,-3.3652827739715576
1524867977.530466,140381,-3.260836601257324
1524868162.5865,140461,-3.4550070762634277
1524870284.684228,141381,-2.9772276878356934
1524870885.000359,141641,-3.1247260570526123
1524871022.817983,141701,-2.9456217288970947
1524871115.309013,141741,-2.8840765953063965
1524871806.567147,142041,-3.541576862335205
1524871898.804799,142081,-2.9959964752197266
1524872777.268457,142461,-3.4390251636505127
1524875634.756767,143681,-3.1581127643585205
1524876155.516223,143901,-2.724151372909546
1524877624.122145,144521,-2.9791927337646484
1524877814.421768,144601,-3.1390862464904785
1524877957.096694,144661,-3.326375961303711
1524879760.493964,145421,-3.0202105045318604
1524881659.673943,146221,-2.984388828277588
1524882917.375754,146761,-2.9448652267456055
1524883474.122436,147001,-2.7756550312042236
1524884441.813509,147421,-2.531968593597412
1524884580.163932,147481,-3.4495911598205566
1524884718.504233,147541,-3.552002429962158
1524884903.343528,147621,-3.0058815479278564
1524886517.702771,148321,-3.2778921127319336
1524888848.604361,149301,-3.407146453857422
1524889898.524796,149741,-3.3367037773132324
1524892707.538351,150921,-3.5149779319763184
1524894137.280766,151521,-3.268852710723877
1524894998.308202,151881,-3.414280891418457
1524896626.049176,152561,-2.8171091079711914
1524897768.884526,153041,-2.743961811065674
1524898414.021778,153321,-3.549560308456421
1524899151.144711,153641,-3.2485694885253906
1524900903.208739,154401,-2.7320988178253174
1524905573.901349,156421,-3.4591925144195557
1524906588.564492,156861,-3.0924272537231445
1524909221.56884,158001,-3.0647449493408203
1524910470.095847,158541,-2.944249391555786
1524910793.284622,158681,-3.3821017742156982
1524911024.061197,158781,-3.120438814163208
1524914584.803612,160321,-2.8280599117279053
1524915507.554193,160721,-2.8673300743103027
1524921606.104727,163361,-3.368046760559082
1524921698.432667,163401,-3.3368210792541504
1524921836.797101,163461,-2.635185956954956
1524923958.877411,164381,-3.1939644813537598
1524926779.570982,165601,-3.0978236198425293
1524929638.459672,166841,-2.8680381774902344
1524930100.457138,167041,-3.409541130065918
1524930423.142957,167181,-3.03721022605896
1524930699.64291,167301,-2.997872829437256
1524931345.284776,167581,-3.454497814178467
1524931897.994694,167821,-3.311007499694824
1524932221.106614,167961,-3.2583463191986084
1524932546.039195,168101,-3.0204951763153076
1524933285.864932,168421,-2.7684154510498047
1524934992.113118,169161,-3.373462438583374
1524935962.321444,169581,-3.3874363899230957
1524936285.612849,169721,-2.887709617614746
1524938831.328911,170821,-3.232741355895996
1524940168.396032,171401,-3.0592029094696045
1524940676.580789,171621,-3.012401580810547
1524940768.719549,171661,-3.4776997566223145
1524941460.347551,171961,-3.1158382892608643
1524941690.823294,172061,-2.6453027725219727
1524942428.134479,172381,-2.898780345916748
1524942843.230431,172561,-3.020763635635376
1524943995.602621,173061,-3.166708469390869
1524948338.719545,174941,-2.7509818077087402
1524948430.82078,174981,-3.4558463096618652
1524952405.944187,176701,-3.211467742919922
1524953467.562635,177161,-2.9789369106292725
1524953651.952152,177241,-3.1444103717803955
1524954158.842896,177461,-3.3543763160705566
1524954205.083437,177481,-2.9747726917266846
1524954481.389552,177601,-2.8458924293518066
1524955914.071527,178221,-2.908630609512329
1524956422.905435,178441,-2.6674768924713135
1524956884.32485,178641,-3.2041354179382324
1524957299.033959,178821,-2.979292392730713
1524958681.799477,179421,-3.0289106369018555
1524959421.801789,179741,-3.057772159576416
1524959606.58356,179821,-3.3380544185638428
1524964231.068459,181821,-3.297933578491211
1524964647.674205,182001,-3.00673246383667
1524965939.411964,182561,-3.3951427936553955
1524966954.305076,183001,-3.004706859588623
1524967692.744785,183321,-3.1722841262817383
1524970927.933981,184721,-2.836967945098877
1524972039.611666,185201,-3.3742294311523438
1524973287.42438,185741,-3.2483954429626465
1524977811.191244,187701,-2.908564567565918
1524977995.874786,187781,-2.6470155715942383
1524978273.884145,187901,-3.0644094944000244
1524980306.64458,188781,-3.1472346782684326
1524984240.320476,190481,-2.9673943519592285
1524984332.752458,190521,-2.989882230758667
1524985118.84572,190861,-2.951554775238037
1524985859.854609,191181,-2.5958025455474854
1524986459.083621,191441,-3.211805582046509
1524989323.521023,192681,-3.8990354537963867
1524989968.915735,192961,-2.806453227996826
1524992695.455931,194141,-3.320924997329712
1524993942.538062,194681,-3.2549805641174316
1524994081.039263,194741,-3.0768885612487793
1524994221.237697,194801,-3.5272252559661865
1524995195.031924,195221,-3.3544862270355225
1524996347.952086,195721,-3.277350664138794
1524996993.455256,196001,-3.2970848083496094
1524998377.765501,196601,-3.3544490337371826
1524998656.20575,196721,-3.4296324253082275
1524998794.508016,196781,-2.636322021484375
1525001429.492375,197921,-3.1492385864257812
