Wall time,Step,Value
1524541420.907674,441,-0.34411242604255676
1524541571.100109,501,-0.5697965025901794
1524543172.843369,1141,-0.6083599328994751
1524543322.987049,1201,-0.6061805486679077
1524544474.311829,1661,-0.6368255615234375
1524544524.371493,1681,-0.6010927557945251
1524544874.93442,1821,-0.5686997771263123
1524545725.841327,2161,-0.7157886028289795
1524547477.60672,2861,-0.9153182506561279
1524548878.699969,3421,-0.8212145566940308
1524549078.893887,3501,-0.8819432854652405
1524551130.393008,4321,-0.9057172536849976
1524552231.251118,4761,-1.0938866138458252
1524552731.548731,4961,-0.8568810224533081
1524553593.251906,5301,-1.1559373140335083
1524555394.243827,6021,-1.1062791347503662
1524556945.054054,6641,-1.073544979095459
1524557445.179217,6841,-1.0705057382583618
1524558695.679744,7341,-1.1102933883666992
1524559145.97618,7521,-1.1604979038238525
1524560496.719073,8061,-0.9565592408180237
1524563147.958502,9121,-1.1983212232589722
1524566060.446385,10281,-1.2036828994750977
1524567911.430929,11021,-1.2655397653579712
1524567961.462231,11041,-1.3224425315856934
1524568011.484212,11061,-1.3587236404418945
1524568561.879133,11281,-1.447911262512207
1524569412.465472,11621,-1.3573765754699707
1524569812.778171,11781,-1.3112225532531738
1524571820.370296,12581,-1.2939646244049072
1524573421.387857,13221,-1.454691767692566
1524573571.432393,13281,-1.0424185991287231
1524573821.683418,13381,-1.4554027318954468
1524574972.470324,13841,-1.3092106580734253
1524575422.656424,14021,-1.3161416053771973
1524575772.853317,14161,-1.427680492401123
1524577523.485872,14861,-1.4562013149261475
1524577673.551236,14921,-1.4048782587051392
1524581186.535324,16321,-1.5077985525131226
1524582487.274357,16841,-1.443222165107727
1524582887.66601,17001,-1.4325801134109497
1524583187.999013,17121,-1.3396705389022827
1524584238.563347,17541,-1.4768818616867065
1524584588.688422,17681,-1.4171249866485596
1524584738.724685,17741,-1.9003322124481201
1524585489.174966,18041,-1.8278547525405884
1524585639.314372,18101,-2.014033079147339
1524586940.034263,18621,-1.4899322986602783
1524589141.432495,19501,-1.6778557300567627
1524590853.82688,20181,-1.6486737728118896
1524592505.130032,20841,-1.511197566986084
1524592605.203488,20881,-1.4443250894546509
1524593205.770636,21121,-1.7367475032806396
1524594006.291141,21441,-1.617483377456665
1524594956.87928,21821,-1.734965205192566
1524597108.599231,22681,-1.506824016571045
