Wall time,Step,Value
1524541041.219358,441,0.002343909814953804
1524541159.038613,501,-0.2074185162782669
1524542391.232792,1141,-0.484784334897995
1524542506.7801,1201,-0.29435402154922485
1524543387.310971,1661,-0.4008282721042633
1524543425.789462,1681,-0.8829070925712585
1524543694.712016,1821,-0.669440507888794
1524545689.558467,2861,-0.88772052526474
1524546765.729179,3421,-1.038696527481079
1524546919.250053,3501,-0.6547138094902039
1524548492.539147,4321,-0.8353526592254639
1524549335.623518,4761,-0.6784520745277405
1524550379.801977,5301,-0.7897125482559204
1524551762.499726,6021,-0.9477604031562805
1524553335.696302,6841,-0.9830064177513123
1524554295.514913,7341,-0.991811990737915
1524555676.943839,8061,-1.2004510164260864
1524557711.002792,9121,-1.1831927299499512
1524559943.284384,10281,-1.6055773496627808
1524561362.74294,11021,-1.4605565071105957
1524561439.511992,11061,-1.1828502416610718
1524561861.177556,11281,-1.2576097249984741
1524562820.487734,11781,-1.4085861444473267
1524564355.40249,12581,-1.2462583780288696
1524565583.091105,13221,-1.2755945920944214
1524565698.920895,13281,-1.3128677606582642
1524565890.601443,13381,-1.7459450960159302
1524567116.817083,14021,-1.449739694595337
1524568726.82429,14861,-1.2622147798538208
1524568841.934676,14921,-1.4080376625061035
1524571559.188373,16321,-1.4582973718643188
1524572558.124029,16841,-1.6173654794692993
1524572864.698518,17001,-1.3759491443634033
1524573901.940513,17541,-1.312644362449646
1524574170.247264,17681,-2.0811996459960938
1524574285.749576,17741,-1.7511532306671143
1524574861.129751,18041,-1.2622156143188477
1524574976.371413,18101,-1.973288655281067
1524575974.511242,18621,-1.3789018392562866
1524578972.336694,20181,-1.6218624114990234
1524580239.60456,20841,-1.7194322347640991
1524580776.852759,21121,-1.2388688325881958
1524581391.878159,21441,-1.2720814943313599
1524582120.243911,21821,-1.2360384464263916
1524583771.13213,22681,-1.6158603429794312
1524584653.836047,23141,-1.578783392906189
1524586726.584964,24221,-1.5738732814788818
1524586917.953462,24321,-1.5626410245895386
1524587607.347131,24681,-1.3938649892807007
1524588145.303929,24961,-1.703609585762024
1524588723.609328,25261,-1.1712236404418945
1524589375.198001,25601,-1.3989462852478027
1524590451.308799,26161,-1.657448649406433
1524593098.237224,27541,-1.460410475730896
1524594672.041325,28361,-1.8752110004425049
1524594863.930585,28461,-1.7464087009429932
1524594979.301213,28521,-1.6641186475753784
1524601584.005018,31961,-2.0751848220825195
1524602428.558656,32401,-1.664747953414917
1524602544.190669,32461,-2.063788414001465
1524603272.895077,32841,-1.7391161918640137
1524603886.504122,33161,-1.311069130897522
1524605536.633567,34021,-2.0165321826934814
1524606305.011082,34421,-1.4473421573638916
1524607149.677735,34861,-1.7455345392227173
1524607727.136779,35161,-1.7788124084472656
1524608686.950908,35661,-1.4572190046310425
1524608802.135866,35721,-1.4574024677276611
1524609340.607644,36001,-1.3940521478652954
1524609801.425823,36241,-1.624965786933899
1524609916.550739,36301,-1.309607982635498
1524611913.913659,37341,-1.6045262813568115
1524612297.559709,37541,-1.8193269968032837
1524612719.462198,37761,-1.793260097503662
1524614638.954545,38761,-1.81792414188385
1524614869.356871,38881,-1.5789834260940552
1524615676.292771,39301,-1.4442847967147827
1524616290.408219,39621,-1.2634729146957397
1524618020.962319,40521,-1.3257720470428467
1524621323.197663,42241,-1.6837576627731323
1524628285.633894,45841,-1.3272149562835693
1524629110.124781,46261,-1.5949199199676514
1524632544.085382,48001,-1.8925092220306396
1524633260.372357,48361,-2.0172417163848877
1524635245.552201,49361,-1.6428297758102417
1524636835.561622,50161,-1.6375272274017334
1524637550.990533,50521,-2.0108680725097656
1524638344.351069,50921,-1.5979645252227783
1524640087.807871,51801,-1.978912115097046
1524640166.972733,51841,-2.6162424087524414
1524640286.139006,51901,-1.2784324884414673
1524640485.1313,52001,-1.7819793224334717
1524641238.292309,52381,-1.8167595863342285
1524642493.255502,53021,-1.6309728622436523
1524643991.52659,53801,-1.5758323669433594
1524645910.665454,54801,-1.6612708568572998
1524648063.755029,55921,-1.5480531454086304
1524649715.628935,56781,-1.8788607120513916
1524650751.618153,57321,-1.5814815759658813
1524651174.677986,57541,-1.2575623989105225
1524652903.792821,58441,-1.6727412939071655
1524654861.551144,59461,-1.8617016077041626
1524657171.263045,60661,-1.6997746229171753
